lat,lon,loc,date,timespan,count,daily_count,season,season_year,mean_seasonal_daily_count,daily_count_thresh,seasonal_count_thresh,lifecycle_duration,date_sampled
-31.2953,141.7099,FOWLERS GAP,2/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,3/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,4/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,5/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,6/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,7/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,8/7/1988,7,132,18.857142857142858,Winter,1988,2.49484127,5,2,69.25,8/7/1988
-31.2953,141.7099,FOWLERS GAP,16/5/1989,2,35,17.5,Autumn,1989,1.9566326530612246,5,2,106.16666666666667,17/5/1989
-31.2953,141.7099,FOWLERS GAP,17/5/1989,2,35,17.5,Autumn,1989,1.9566326530612246,5,2,106.16666666666667,17/5/1989
-31.2953,141.7099,FOWLERS GAP,29/5/1989,6,39,6.5,Winter,1989,1.6904761904761905,5,2,99.95833333333333,3/6/1989
-31.2953,141.7099,FOWLERS GAP,30/5/1989,6,39,6.5,Winter,1989,1.6904761904761905,5,2,99.95833333333333,3/6/1989
-31.2953,141.7099,FOWLERS GAP,31/5/1989,6,39,6.5,Winter,1989,1.6904761904761905,5,2,99.95833333333333,3/6/1989
-31.2953,141.7099,FOWLERS GAP,1/6/1989,6,39,6.5,Winter,1989,1.6904761904761905,5,2,99.95833333333333,3/6/1989
-31.2953,141.7099,FOWLERS GAP,2/6/1989,6,39,6.5,Winter,1989,1.6904761904761905,5,2,99.95833333333333,3/6/1989
-31.2953,141.7099,FOWLERS GAP,3/6/1989,6,39,6.5,Winter,1989,1.6904761904761905,5,2,99.95833333333333,3/6/1989
-30.285,150.1672222,Mt. Dowe,4/11/1986,1,174,174,Spring,1986,27.77358490566038,5,2,48.333333333333336,4/11/1986
-30.285,150.1672222,Mt. Dowe,5/11/1986,1,689,689,Spring,1986,27.77358490566038,5,2,48.20833333333333,5/11/1986
-30.285,150.1672222,Mt. Dowe,6/11/1986,1,152,152,Spring,1986,27.77358490566038,5,2,48.958333333333336,6/11/1986
-30.285,150.1672222,Mt. Dowe,18/11/1986,1,80,80,Spring,1986,27.77358490566038,5,2,47.16666666666667,18/11/1986
-30.285,150.1672222,Mt. Dowe,4/3/1987,1,29,29,Autumn,1987,4.285714285714286,5,2,51.70833333333333,4/3/1987
-30.285,150.1672222,Mt. Dowe,1/10/1987,1,3448,3448,Spring,1987,205.85714285714286,5,2,59.166666666666664,1/10/1987
-30.285,150.1672222,Mt. Dowe,19/10/1987,1,1218,1218,Spring,1987,205.85714285714286,5,2,52.75,19/10/1987
-30.285,150.1672222,Mt. Dowe,15/1/1988,1,237,237,Summer,1988,55.666666666666664,5,2,47.083333333333336,15/1/1988
-30.285,150.1672222,Mt. Dowe,17/1/1988,1,135,135,Summer,1988,55.666666666666664,5,2,44.708333333333336,17/1/1988
-30.285,150.1672222,Mt. Dowe,20/1/1988,1,200,200,Summer,1988,55.666666666666664,5,2,44.541666666666664,20/1/1988
-30.285,150.1672222,Mt. Dowe,17/2/1988,1,387,387,Summer,1988,55.666666666666664,5,2,45.583333333333336,17/2/1988
-30.285,150.1672222,Mt. Dowe,7/3/1988,1,41,41,Autumn,1988,12.2,5,2,61,7/3/1988
-30.285,150.1672222,Mt. Dowe,13/10/1988,1,186,186,Spring,1988,38.095238095238095,5,2,46.791666666666664,13/10/1988
-30.285,150.1672222,Mt. Dowe,14/10/1988,1,511,511,Spring,1988,38.095238095238095,5,2,46.875,14/10/1988
-30.285,150.1672222,Mt. Dowe,20/1/1989,1,20,20,Summer,1989,5.25,5,2,39.541666666666664,20/1/1989
-30.285,150.1672222,Mt. Dowe,2/2/1989,1,24,24,Summer,1989,5.25,5,2,38.75,2/2/1989
-30.285,150.1672222,Mt. Dowe,8/2/1989,1,30,30,Summer,1989,5.25,5,2,39.333333333333336,8/2/1989
-30.285,150.1672222,Mt. Dowe,19/9/1989,1,14,14,Spring,1989,5.777777777777778,5,2,58.375,19/9/1989
-30.285,150.1672222,Mt. Dowe,18/10/1989,1,26,26,Spring,1989,5.777777777777778,5,2,51.041666666666664,18/10/1989
-30.285,150.1672222,Mt. Dowe,19/10/1989,1,39,39,Spring,1989,5.777777777777778,5,2,51.125,19/10/1989
-30.285,150.1672222,Mt. Dowe,22/10/1989,1,29,29,Spring,1989,5.777777777777778,5,2,51.25,22/10/1989
-30.285,150.1672222,Mt. Dowe,24/10/1989,1,14,14,Spring,1989,5.777777777777778,5,2,50.541666666666664,24/10/1989
-30.285,150.1672222,Mt. Dowe,31/10/1989,1,23,23,Spring,1989,5.777777777777778,5,2,48.666666666666664,31/10/1989
-30.285,150.1672222,Mt. Dowe,3/11/1989,1,12,12,Spring,1989,5.777777777777778,5,2,47.625,3/11/1989
-30.285,150.1672222,Mt. Dowe,1/1/1990,1,12,12,Summer,1990,1.9333333333333333,5,2,46,1/1/1990
-30.285,150.1672222,Mt. Dowe,28/1/1990,1,7,7,Summer,1990,1.9333333333333333,5,2,41.5,28/1/1990
-30.285,150.1672222,Mt. Dowe,2/2/1990,1,6,6,Summer,1990,1.9333333333333333,5,2,41,2/2/1990
-30.4816667,152.395,Point Lookout,28/10/1985,1,93,93,Spring,1985,10.435897435897436,5,2,65,28/10/1985
-30.4816667,152.395,Point Lookout,4/11/1985,1,21,21,Spring,1985,10.435897435897436,5,2,61.958333333333336,4/11/1985
-30.4816667,152.395,Point Lookout,5/11/1985,1,26,26,Spring,1985,10.435897435897436,5,2,61.291666666666664,5/11/1985
-30.4816667,152.395,Point Lookout,11/11/1985,1,125,125,Spring,1985,10.435897435897436,5,2,59.083333333333336,11/11/1985
-30.4816667,152.395,Point Lookout,18/11/1985,1,41,41,Spring,1985,10.435897435897436,5,2,56.791666666666664,18/11/1985
-30.4816667,152.395,Point Lookout,25/11/1985,1,23,23,Spring,1985,10.435897435897436,5,2,53.125,25/11/1985
-30.4816667,152.395,Point Lookout,2/12/1985,1,32,32,Spring,1985,10.435897435897436,5,2,51.375,2/12/1985
-30.4816667,152.395,Point Lookout,2/1/1986,1,6,6,Summer,1986,1.6206896551724137,5,2,51.666666666666664,2/1/1986
-30.4816667,152.395,Point Lookout,26/2/1986,1,21,21,Summer,1986,1.6206896551724137,5,2,59.208333333333336,26/2/1986
-30.4816667,152.395,Point Lookout,3/3/1986,1,19,19,Autumn,1986,8.65,5,2,63.33333333333333,3/3/1986
-30.4816667,152.395,Point Lookout,10/3/1986,1,42,42,Autumn,1986,8.65,5,2,72.58333333333333,10/3/1986
-30.4816667,152.395,Point Lookout,18/3/1986,1,60,60,Autumn,1986,8.65,5,2,83.20833333333333,18/3/1986
-30.4816667,152.395,Point Lookout,8/4/1986,1,26,26,Autumn,1986,8.65,5,2,163.625,8/4/1986
-30.4816667,152.395,Point Lookout,15/9/1986,1,18,18,Spring,1986,7.092105263157895,5,2,85.04166666666667,15/9/1986
-30.4816667,152.395,Point Lookout,16/10/1986,1,45,45,Spring,1986,7.092105263157895,5,2,70.33333333333334,16/10/1986
-30.4816667,152.395,Point Lookout,21/10/1986,1,17,17,Spring,1986,7.092105263157895,5,2,68.20833333333333,21/10/1986
-30.4816667,152.395,Point Lookout,29/10/1986,1,24,24,Spring,1986,7.092105263157895,5,2,64.08333333333333,29/10/1986
-30.4816667,152.395,Point Lookout,2/11/1986,1,296,296,Spring,1986,7.092105263157895,5,2,63.083333333333336,2/11/1986
-30.4816667,152.395,Point Lookout,29/11/1986,1,18,18,Spring,1986,7.092105263157895,5,2,56.125,29/11/1986
-30.4816667,152.395,Point Lookout,13/1/1987,1,14,14,Summer,1987,2.7096774193548385,5,2,49.333333333333336,13/1/1987
-30.4816667,152.395,Point Lookout,29/1/1987,1,9,9,Summer,1987,2.7096774193548385,5,2,57.416666666666664,29/1/1987
-30.4816667,152.395,Point Lookout,14/2/1987,1,10,10,Summer,1987,2.7096774193548385,5,2,68.29166666666667,14/2/1987
-30.4816667,152.395,Point Lookout,22/2/1987,1,23,23,Summer,1987,2.7096774193548385,5,2,76.5,22/2/1987
-30.4816667,152.395,Point Lookout,23/2/1987,1,8,8,Summer,1987,2.7096774193548385,5,2,78.91666666666667,23/2/1987
