lat,lon,loc,date,timespan,count,daily_count,season,season_year,mean_seasonal_daily_count,lifecycle_duration
-37.9721,146.98525,Maffra,1980-11-13T00:00:00Z,3,4672,1557.3333333333333,Spring,1980,150.51262626262624,82.70833333333334
-37.9721,146.98525,Maffra,1980-11-17T00:00:00Z,4,2888,722,Spring,1980,150.51262626262624,85.33333333333334
-37.9721,146.98525,Maffra,1980-11-20T00:00:00Z,3,1209,403,Spring,1980,150.51262626262624,84.66666666666666
-37.9721,146.98525,Maffra,1981-01-15T00:00:00Z,3,565,188.33333333333334,Summer,1981,20.741176470588233,73.29166666666667
-37.9721,146.98525,Maffra,1981-01-19T00:00:00Z,4,203,50.75,Summer,1981,20.741176470588233,74.08333333333333
-37.9721,146.98525,Maffra,1981-12-03T00:00:00Z,3,33,11,Spring,1981,5.12892156862745,72.66666666666667
-37.9721,146.98525,Maffra,1981-12-07T00:00:00Z,4,68,17,Spring,1981,5.12892156862745,71.33333333333334
-37.9721,146.98525,Maffra,1981-12-14T00:00:00Z,4,59,14.75,Spring,1981,5.12892156862745,68.70833333333333
-37.9721,146.98525,Maffra,1981-12-21T00:00:00Z,4,65,16.25,Spring,1981,5.12892156862745,67
-37.9721,146.98525,Maffra,1981-12-24T00:00:00Z,3,71,23.666666666666668,Spring,1981,5.12892156862745,65.875
-37.9721,146.98525,Maffra,1981-12-31T00:00:00Z,2,33,16.5,Spring,1981,5.12892156862745,65.58333333333333
-37.9721,146.98525,Maffra,1982-01-04T00:00:00Z,4,60,15,Summer,1982,3.908333333333333,72.91666666666667
-37.9721,146.98525,Maffra,1982-01-07T00:00:00Z,3,65,21.666666666666668,Summer,1982,3.908333333333333,72.95833333333333
-37.9721,146.98525,Maffra,1982-10-28T00:00:00Z,3,31,10.333333333333334,Spring,1982,3.721428571428571,83.45833333333333
-37.9721,146.98525,Maffra,1982-11-08T00:00:00Z,4,37,9.25,Spring,1982,3.721428571428571,78.25
-37.9721,146.98525,Maffra,1982-11-15T00:00:00Z,4,40,10,Spring,1982,3.721428571428571,77.375
-37.9721,146.98525,Maffra,1982-11-25T00:00:00Z,3,48,16,Spring,1982,3.721428571428571,76.45833333333333
-37.9721,146.98525,Maffra,1982-12-29T00:00:00Z,6,65,10.833333333333334,Spring,1982,3.721428571428571,71.83333333333334
-37.9721,146.98525,Maffra,1982-12-30T00:00:00Z,1,15,15,Spring,1982,3.721428571428571,73.29166666666667
-37.9721,146.98525,Maffra,1983-01-24T00:00:00Z,4,60,15,Summer,1983,4.147108843537415,75.66666666666667
-37.9721,146.98525,Maffra,1983-01-27T00:00:00Z,3,36,12,Summer,1983,4.147108843537415,77.58333333333333
-37.9721,146.98525,Maffra,1983-02-01T00:00:00Z,5,61,12.2,Summer,1983,4.147108843537415,82.33333333333334
-36.7217,142.1729,Horsham,1980-10-16T00:00:00Z,3,203,67.66666666666667,Spring,1980,25.166666666666668,90.5
-36.7217,142.1729,Horsham,1980-10-20T00:00:00Z,4,535,133.75,Spring,1980,25.166666666666668,89.58333333333333
-36.7217,142.1729,Horsham,1980-10-23T00:00:00Z,3,503,167.66666666666666,Spring,1980,25.166666666666668,89.95833333333333
-36.7217,142.1729,Horsham,1980-10-27T00:00:00Z,4,208,52,Spring,1980,25.166666666666668,87.875
-36.7217,142.1729,Horsham,1980-12-11T00:00:00Z,3,272,90.66666666666667,Spring,1980,25.166666666666668,78.54166666666667
-36.7217,142.1729,Horsham,1981-01-08T00:00:00Z,1,54,54,Summer,1981,22.896491228070175,77.54166666666666
-36.7217,142.1729,Horsham,1981-01-15T00:00:00Z,3,182,60.666666666666664,Summer,1981,22.896491228070175,77.625
-36.7217,142.1729,Horsham,1981-03-08T00:00:00Z,10,150,15,Autumn,1981,6.389166666666666,197.375
