Lat,Long,Location,Year,Week,DateOfCatch,DaysOfCatch,TotalCatch,NTrapPeriods,Dates,Days,Catches
-30.285,150.167222222222,Mt. Dowe,1986,39,1986-09-30,5,67,5,1986-09-26; 1986-09-27; 1986-09-28; 1986-09-29; 1986-09-30,1; 1; 1; 1; 1,3; 30; 5; 29; 0
-30.285,150.167222222222,Mt. Dowe,1986,40,1986-10-03,3,4,3,1986-10-01; 1986-10-02; 1986-10-03,1; 1; 1,0; 4; 0
-30.285,150.167222222222,Mt. Dowe,1986,41,1986-10-14,4,11,4,1986-10-09; 1986-10-10; 1986-10-11; 1986-10-14,1; 1; 1; 1,0; 11; 0; 0
-30.285,150.167222222222,Mt. Dowe,1986,42,1986-10-20,6,35,6,1986-10-15; 1986-10-16; 1986-10-17; 1986-10-18; 1986-10-19; 1986-10-20,1; 1; 1; 1; 1; 1,27; 0; 0; 3; 5; 0
-30.285,150.167222222222,Mt. Dowe,1986,43,1986-10-28,3,9,3,1986-10-26; 1986-10-27; 1986-10-28,1; 1; 1,0; 9; 0
-30.285,150.167222222222,Mt. Dowe,1986,44,1986-11-04,7,209,7,1986-10-29; 1986-10-30; 1986-10-31; 1986-11-01; 1986-11-02; 1986-11-03; 1986-11-04,1; 1; 1; 1; 1; 1; 1,0; 20; 0; 0; 15; 0; 174
-30.285,150.167222222222,Mt. Dowe,1986,45,1986-11-11,7,959,7,1986-11-05; 1986-11-06; 1986-11-07; 1986-11-08; 1986-11-09; 1986-11-10; 1986-11-11,1; 1; 1; 1; 1; 1; 1,689; 152; 44; 30; 11; 33; 0
-30.285,150.167222222222,Mt. Dowe,1986,46,1986-11-18,2,80,2,1986-11-17; 1986-11-18,1; 1,0; 80
-30.285,150.167222222222,Mt. Dowe,1986,47,1986-11-25,5,41,5,1986-11-19; 1986-11-21; 1986-11-22; 1986-11-23; 1986-11-25,1; 1; 1; 1; 1,0; 0; 41; 0; 0
-30.285,150.167222222222,Mt. Dowe,1986,48,1986-12-02,4,42,4,1986-11-26; 1986-11-27; 1986-12-01; 1986-12-02,1; 1; 1; 1,31; 0; 0; 11
-30.285,150.167222222222,Mt. Dowe,1986,49,1986-12-09,2,0,2,1986-12-03; 1986-12-09,1; 1,0; 0
-30.285,150.167222222222,Mt. Dowe,1986,50,1986-12-11,2,8,2,1986-12-10; 1986-12-11,1; 1,8; 0
-30.285,150.167222222222,Mt. Dowe,1986,51,1986-12-21,3,7,3,1986-12-19; 1986-12-20; 1986-12-21,1; 1; 1,0; 7; 0
-30.285,150.167222222222,Mt. Dowe,1987,2,1987-01-11,3,2,3,1987-01-09; 1987-01-10; 1987-01-11,1; 1; 1,0; 2; 0
-30.285,150.167222222222,Mt. Dowe,1987,9,1987-03-04,2,29,2,1987-03-03; 1987-03-04,1; 1,0; 29
-30.285,150.167222222222,Mt. Dowe,1987,10,1987-03-08,4,1,4,1987-03-05; 1987-03-06; 1987-03-07; 1987-03-08,1; 1; 1; 1,0; 0; 1; 0
-30.285,150.167222222222,Mt. Dowe,1987,11,1987-03-18,NA,1,2,1987-03-17; 1987-03-18,1; NA,0; 1
-30.285,150.167222222222,Mt. Dowe,1987,39,1987-09-30,3,308,3,1987-09-24; 1987-09-25; 1987-09-30,1; 1; 1,308; 0; 0
-30.285,150.167222222222,Mt. Dowe,1987,40,1987-10-02,2,3448,2,1987-10-01; 1987-10-02,1; 1,3448; 0
-30.285,150.167222222222,Mt. Dowe,1987,42,1987-10-20,3,1218,3,1987-10-17; 1987-10-19; 1987-10-20,1; 1; 1,0; 1218; 0
-30.285,150.167222222222,Mt. Dowe,1987,43,1987-10-28,5,71,5,1987-10-24; 1987-10-25; 1987-10-26; 1987-10-27; 1987-10-28,1; 1; 1; 1; 1,0; 19; 0; 52; 0
-30.285,150.167222222222,Mt. Dowe,1987,45,1987-11-11,6,397,6,1987-11-05; 1987-11-06; 1987-11-06; 1987-11-09; 1987-11-10; 1987-11-11,1; 1; 1; 1; 1; 1,0; 388; 0; 0; 9; 0
