REG_NAME_7,count
Brigalow Belt South,3
Channel Country,1
Cobar Peneplain,1
Mulga Lands,1
NSW North Coast,4
NSW South Western Slopes,1
New England Tablelands,2
South Eastern Highlands,1
Sydney Basin,1
Arnhem Coast,NA
Arnhem Plateau,NA
Australian Alps,NA
Avon Wheatbelt,NA
Brigalow Belt North,NA
Ben Lomond,NA
Broken Hill Complex,NA
Burt Plain,NA
Carnarvon,NA
Central Arnhem,NA
Central Kimberley,NA
Central Ranges,NA
Central Mackay Coast,NA
Coolgardie,NA
Coral Sea,NA
Cape York Peninsula,NA
Daly Basin,NA
Darwin Coastal,NA
Dampierland,NA
Desert Uplands,NA
Davenport Murchison Ranges,NA
Darling Riverine Plains,NA
Einasleigh Uplands,NA
Esperance Plains,NA
Eyre Yorke Block,NA
Finke,NA
Flinders Lofty Block,NA
Furneaux,NA
Gascoyne,NA
Gawler,NA
Geraldton Sandplains,NA
Gulf Fall and Uplands,NA
Gibson Desert,NA
Great Sandy Desert,NA
Gulf Coastal,NA
Gulf Plains,NA
Great Victoria Desert,NA
Hampton,NA
Indian Tropical Islands,NA
Jarrah Forest,NA
Kanmantoo,NA
King,NA
Little Sandy Desert,NA
MacDonnell Ranges,NA
Mallee,NA
Murray Darling Depression,NA
Mitchell Grass Downs,NA
Mount Isa Inlier,NA
Murchison,NA
Nandewar,NA
Naracoorte Coastal Plain,NA
Northern Kimberley,NA
Nullarbor,NA
Ord Victoria Plain,NA
Pine Creek,NA
Pilbara,NA
Pacific Subtropical Islands,NA
Riverina,NA
Subantarctic Islands,NA
South East Coastal Plain,NA
South East Corner,NA
South Eastern Queensland,NA
Simpson Strzelecki Dunefields,NA
Stony Plains,NA
Sturt Plateau,NA
Southern Volcanic Plain,NA
Swan Coastal Plain,NA
Tanami,NA
Tasmanian Central Highlands,NA
Tiwi Cobourg,NA
Tasmanian Northern Midlands,NA
Tasmanian Northern Slopes,NA
Tasmanian South East,NA
Tasmanian Southern Ranges,NA
Tasmanian West,NA
Victoria Bonaparte,NA
Victorian Midlands,NA
Warren,NA
Wet Tropics,NA
Yalgoo,NA
