REG_NAME_7,REG_CODE_7,count
Brigalow Belt South,BBS,69
Channel Country,CHC,3
Cobar Peneplain,COP,9
Darling Riverine Plains,DRP,15
Mulga Lands,MUL,20
NSW North Coast,NNC,20
NSW South Western Slopes,NSS,2
Nandewar,NAN,10
New England Tablelands,NET,21
Riverina,RIV,1
South Eastern Highlands,SEH,1
South Eastern Queensland,SEQ,19
Sydney Basin,SYB,3
Arnhem Coast,ARC,NA
Arnhem Plateau,ARP,NA
Australian Alps,AUA,NA
Avon Wheatbelt,AVW,NA
Brigalow Belt North,BBN,NA
Ben Lomond,BEL,NA
Broken Hill Complex,BHC,NA
Burt Plain,BRT,NA
Carnarvon,CAR,NA
Central Arnhem,CEA,NA
Central Kimberley,CEK,NA
Central Ranges,CER,NA
Central Mackay Coast,CMC,NA
Coolgardie,COO,NA
Coral Sea,COS,NA
Cape York Peninsula,CYP,NA
Daly Basin,DAB,NA
Darwin Coastal,DAC,NA
Dampierland,DAL,NA
Desert Uplands,DEU,NA
Davenport Murchison Ranges,DMR,NA
Einasleigh Uplands,EIU,NA
Esperance Plains,ESP,NA
Eyre Yorke Block,EYB,NA
Finke,FIN,NA
Flinders Lofty Block,FLB,NA
Furneaux,FUR,NA
Gascoyne,GAS,NA
Gawler,GAW,NA
Geraldton Sandplains,GES,NA
Gulf Fall and Uplands,GFU,NA
Gibson Desert,GID,NA
Great Sandy Desert,GSD,NA
Gulf Coastal,GUC,NA
Gulf Plains,GUP,NA
Great Victoria Desert,GVD,NA
Hampton,HAM,NA
Indian Tropical Islands,ITI,NA
Jarrah Forest,JAF,NA
Kanmantoo,KAN,NA
King,KIN,NA
Little Sandy Desert,LSD,NA
MacDonnell Ranges,MAC,NA
Mallee,MAL,NA
Murray Darling Depression,MDD,NA
Mitchell Grass Downs,MGD,NA
Mount Isa Inlier,MII,NA
Murchison,MUR,NA
Naracoorte Coastal Plain,NCP,NA
Northern Kimberley,NOK,NA
Nullarbor,NUL,NA
Ord Victoria Plain,OVP,NA
Pine Creek,PCK,NA
Pilbara,PIL,NA
Pacific Subtropical Islands,PSI,NA
Subantarctic Islands,SAI,NA
South East Coastal Plain,SCP,NA
South East Corner,SEC,NA
Simpson Strzelecki Dunefields,SSD,NA
Stony Plains,STP,NA
Sturt Plateau,STU,NA
Southern Volcanic Plain,SVP,NA
Swan Coastal Plain,SWA,NA
Tanami,TAN,NA
Tasmanian Central Highlands,TCH,NA
Tiwi Cobourg,TIW,NA
Tasmanian Northern Midlands,TNM,NA
Tasmanian Northern Slopes,TNS,NA
Tasmanian South East,TSE,NA
Tasmanian Southern Ranges,TSR,NA
Tasmanian West,TWE,NA
Victoria Bonaparte,VIB,NA
Victorian Midlands,VIM,NA
Warren,WAR,NA
Wet Tropics,WET,NA
Yalgoo,YAL,NA
