loc,seasonal_year,Spring,Summer,Autumn,Winter
Ararat,1980 - 1981,129.51724137931035,NA,4.4945054945054945,0.05102040816326531
Ararat,1981 - 1982,94.52100840336135,9.732142857142858,14.285714285714286,1.8571428571428572
Ararat,1982 - 1983,8.563025210084033,9.714285714285714,1.4285714285714286,0.4065934065934066
Ararat,1983 - 1984,16.25409836065574,6.698412698412699,4.24468085106383,0.125
Ararat,1984 - 1985,9.968253968253968,61.28333333333333,5.910714285714286,NA
Ararat,1985 - 1986,NA,4.186440677966102,NA,0
Ararat,1986 - 1987,9.54225352112676,NA,NA,NA
Ararat,1987 - 1988,168.8918918918919,6.8125,NA,NA
Ballarat,1983 - 1984,14.49074074074074,NA,NA,NA
Ballarat,1984 - 1985,NA,13.428571428571429,NA,NA
Fowlers Gap,1985 - 1986,NA,NA,NA,0
Fowlers Gap,1986 - 1987,0,NA,0,0
Fowlers Gap,1987 - 1988,0,0,0.14130434782608695,2.25531914893617
Fowlers Gap,1988 - 1989,0,0.2222222222222222,1.1827956989247312,1.6666666666666667
Fowlers Gap,1989 - 1990,0.015873015873015872,0,NA,NA
Hamilton,1980 - 1981,14.232758620689655,NA,0.875,0.031914893617021274
Hamilton,1981 - 1982,1.626984126984127,12.203389830508474,3.4204545454545454,0.10204081632653061
Hamilton,1982 - 1983,2.598360655737705,8.857142857142858,0.8571428571428571,0.17142857142857143
Hamilton,1983 - 1984,NA,2.683333333333333,NA,0
Hamilton,1984 - 1985,2.096,NA,0.3142857142857143,NA
Hamilton,1985 - 1986,NA,1.736842105263158,NA,NA
Horsham,1980 - 1981,25.42241379310345,NA,5.886363636363637,0.09183673469387756
Horsham,1981 - 1982,11.426229508196721,24.54237288135593,7.463157894736842,1.3296703296703296
Horsham,1982 - 1983,6.745901639344262,19.607142857142858,0.9789473684210527,3.1176470588235294
Horsham,1983 - 1984,6.5234375,3,4.076923076923077,0.6190476190476191
Horsham,1984 - 1985,2.310077519379845,19.216666666666665,0.8695652173913043,NA
Horsham,1985 - 1986,NA,3.746031746031746,NA,NA
"Laureldale, Armidale",1984 - 1985,2,NA,1.45,NA
"Laureldale, Armidale",1985 - 1986,2.2093023255813953,1.75,2.1818181818181817,NA
"Laureldale, Armidale",1986 - 1987,3.206896551724138,1,1.7142857142857142,NA
"Laureldale, Armidale",1987 - 1988,3.276923076923077,1.5789473684210527,1.4,0
"Laureldale, Armidale",1988 - 1989,11.571428571428571,3.7837837837837838,1.3076923076923077,NA
"Laureldale, Armidale",1989 - 1990,3.375,1.2727272727272727,1.5,NA
"Laureldale, Armidale",1990 - 1991,NA,2.411764705882353,NA,NA
Maffra,1980 - 1981,148.34821428571428,NA,0.5454545454545454,0.16326530612244897
Maffra,1981 - 1982,5.10655737704918,19.915254237288135,0.16842105263157894,0.17582417582417584
Maffra,1982 - 1983,3.6311475409836067,3.875,0,NA
Maffra,1983 - 1984,NA,3.6,NA,NA
Mt. Dowe,1986 - 1987,27.77358490566038,NA,3.4444444444444446,NA
Mt. Dowe,1987 - 1988,194.16666666666666,0.6666666666666666,10.166666666666666,NA
Mt. Dowe,1988 - 1989,36.36363636363637,55.666666666666664,0.6666666666666666,NA
Mt. Dowe,1989 - 1990,5.6521739130434785,5.25,0.5,NA
Mt. Dowe,1990 - 1991,NA,1.9333333333333333,NA,NA
Newholme,1985 - 1986,1,NA,1.4736842105263157,NA
Newholme,1986 - 1987,2.9,1,0.6666666666666666,NA
Newholme,1987 - 1988,6.7924528301886795,1.25,1.125,NA
Newholme,1988 - 1989,NA,2.5365853658536586,NA,NA
Point Lookout,1985 - 1986,10.552631578947368,NA,7.608695652173913,NA
Point Lookout,1986 - 1987,7.092105263157895,1.6206896551724137,5.8,NA
