run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1963-10-31_loc_Turretfield,1,0,1963-10-30T19:00:00Z,-34.558,138.834,50,1963-10-30T19:00:00Z,-34.55784,138.83408,50,997.6,286.1,285.9,0,385.3,66,6,6.1,117.3,0
date_1963-10-31_loc_Turretfield,1,-1,1963-10-30T18:00:00Z,-34.728,138.94,55.9,1963-10-30T19:00:00Z,-34.55784,138.83408,50,997.8,285.1,284.9,0,300.5,70.7,6,6.1,109.3,0
date_1963-10-31_loc_Turretfield,1,-2,1963-10-30T17:00:00Z,-34.91,139.039,63.6,1963-10-30T19:00:00Z,-34.55784,138.83408,50,998.6,285.6,285.5,0,313.5,68.9,6.1,6.2,100.3,0
date_1963-10-31_loc_Turretfield,1,-3,1963-10-30T16:00:00Z,-35.096,139.134,71.3,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.2,286.1,286,0,337.1,66.4,6.1,6.1,93.5,0
date_1963-10-31_loc_Turretfield,1,-4,1963-10-30T15:00:00Z,-35.281,139.226,78.6,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.3,286.6,286.5,0,370.3,63.4,6,6.1,89.1,0
date_1963-10-31_loc_Turretfield,1,-5,1963-10-30T14:00:00Z,-35.463,139.319,85.1,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.4,287,286.9,0,402.6,60.7,5.9,6,84.9,0
date_1963-10-31_loc_Turretfield,1,-6,1963-10-30T13:00:00Z,-35.641,139.414,90.9,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.6,287.4,287.4,0,433.9,58.2,5.8,5.9,80.9,0
date_1963-10-31_loc_Turretfield,1,-7,1963-10-30T12:00:00Z,-35.817,139.511,95.9,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.9,287.8,287.8,0,463.8,56,5.8,5.8,77.1,0
date_1963-10-31_loc_Turretfield,1,-8,1963-10-30T11:00:00Z,-35.994,139.601,100.3,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.5,288.2,288.1,0,581.2,54.7,5.8,5.8,78.9,0
date_1963-10-31_loc_Turretfield,1,-9,1963-10-30T10:00:00Z,-36.178,139.674,104.3,1963-10-30T19:00:00Z,-34.55784,138.83408,50,999.2,288.5,288.4,0,688,53.6,5.8,5.8,76,0
date_1963-10-31_loc_Turretfield,1,-10,1963-10-30T09:00:00Z,-36.368,139.732,108.1,1963-10-30T19:00:00Z,-34.55784,138.83408,50,998.9,288.8,288.7,0,782.4,52.6,5.7,5.8,73,21.4
date_1963-10-31_loc_Turretfield,1,-11,1963-10-30T08:00:00Z,-36.567,139.774,112.1,1963-10-30T19:00:00Z,-34.55784,138.83408,50,998.6,288.9,288.8,0,862.3,51.7,5.7,5.8,69.7,246.6
date_1963-10-31_loc_Turretfield,1,-12,1963-10-30T07:00:00Z,-36.775,139.803,116.3,1963-10-30T19:00:00Z,-34.55784,138.83408,50,998.3,289,288.9,0,925.5,51,5.6,5.7,66.2,464.7
