run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1978-10-26_loc_Turretfield,1,0,1978-10-25T19:00:00Z,-34.558,138.834,50,1978-10-25T19:00:00Z,-34.55784,138.83408,50,989,296.6,295.7,0,417,38.5,6.6,6.6,123.1,0,1
date_1978-10-26_loc_Turretfield,1,-1,1978-10-25T18:00:00Z,-34.426,138.982,46.4,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.6,296.5,295.5,0,291.9,38.4,6.5,6.5,129.6,0,1
date_1978-10-26_loc_Turretfield,1,-2,1978-10-25T17:00:00Z,-34.286,139.126,43.3,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.7,297,296.1,0,333.7,36.5,6.4,6.5,133.5,0,1
date_1978-10-26_loc_Turretfield,1,-3,1978-10-25T16:00:00Z,-34.145,139.239,40.6,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.7,297.6,296.6,0,369.8,34.9,6.3,6.4,140.2,0,1
date_1978-10-26_loc_Turretfield,1,-4,1978-10-25T15:00:00Z,-34.005,139.317,38.3,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.8,298.1,297.1,0,402.6,33.4,6.2,6.3,146.8,0,1
date_1978-10-26_loc_Turretfield,1,-5,1978-10-25T14:00:00Z,-33.867,139.361,36.4,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.8,298.5,297.6,0,436.2,32.1,6.2,6.2,153.4,0,1
date_1978-10-26_loc_Turretfield,1,-6,1978-10-25T13:00:00Z,-33.734,139.368,34.8,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.8,299,298.1,0,475.5,30.8,6.1,6.2,159.7,0,1
date_1978-10-26_loc_Turretfield,1,-7,1978-10-25T12:00:00Z,-33.606,139.336,33.5,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.8,299.5,298.6,0,527.1,29.5,6,6.1,165.8,0,1
date_1978-10-26_loc_Turretfield,1,-8,1978-10-25T11:00:00Z,-33.475,139.291,32.3,1978-10-25T19:00:00Z,-34.55784,138.83408,50,988.1,300.5,299.5,0,1008,28.4,6.1,6.2,174.2,0,1
date_1978-10-26_loc_Turretfield,1,-9,1978-10-25T10:00:00Z,-33.335,139.259,31.2,1978-10-25T19:00:00Z,-34.55784,138.83408,50,987.4,301.5,300.4,0,1481.1,27.3,6.2,6.3,181,0,1
date_1978-10-26_loc_Turretfield,1,-10,1978-10-25T09:00:00Z,-33.186,139.242,30,1978-10-25T19:00:00Z,-34.55784,138.83408,50,986.6,302.4,301.2,0,1947.7,26.2,6.3,6.3,188.2,0,1
date_1978-10-26_loc_Turretfield,1,-11,1978-10-25T08:00:00Z,-33.031,139.243,28.9,1978-10-25T19:00:00Z,-34.55784,138.83408,50,985.9,303.4,302.1,0,2409.5,25.1,6.3,6.4,195.8,230.2,1
date_1978-10-26_loc_Turretfield,1,-12,1978-10-25T07:00:00Z,-32.872,139.265,27.7,1978-10-25T19:00:00Z,-34.55784,138.83408,50,985.1,304.3,303,0,2869.5,24,6.4,6.5,203.7,459,1
