run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1980-12-10_loc_Maffra,1,0,1980-12-09T19:00:00Z,-37.972,146.985,50,1980-12-09T19:00:00Z,-37.9721,146.98525,50,974.9,299,296.9,0,267.3,45.7,8.5,8.6,306.1,17.4
date_1980-12-10_loc_Maffra,1,-1,1980-12-09T18:00:00Z,-37.797,147.03,54.4,1980-12-09T19:00:00Z,-37.9721,146.98525,50,972.3,298.2,295.9,0,250,47.9,8.4,8.5,327.2,0
date_1980-12-10_loc_Maffra,1,-2,1980-12-09T17:00:00Z,-37.635,147.098,59.1,1980-12-09T19:00:00Z,-37.9721,146.98525,50,969.8,299.2,296.6,0,250,45.4,8.4,8.5,350.6,0
date_1980-12-10_loc_Maffra,1,-3,1980-12-09T16:00:00Z,-37.485,147.171,63.3,1980-12-09T19:00:00Z,-37.9721,146.98525,50,967.6,300.1,297.3,0,250,43.2,8.3,8.4,370.4,0
date_1980-12-10_loc_Maffra,1,-4,1980-12-09T15:00:00Z,-37.347,147.248,67.3,1980-12-09T19:00:00Z,-37.9721,146.98525,50,966.5,300.8,297.9,0,250,41.6,8.3,8.4,379.7,0
date_1980-12-10_loc_Maffra,1,-5,1980-12-09T14:00:00Z,-37.222,147.331,71.2,1980-12-09T19:00:00Z,-37.9721,146.98525,50,965.3,301.5,298.5,0,250,40.1,8.3,8.4,389.4,0
date_1980-12-10_loc_Maffra,1,-6,1980-12-09T13:00:00Z,-37.107,147.417,75.1,1980-12-09T19:00:00Z,-37.9721,146.98525,50,964.1,302.2,299.1,0,250,38.5,8.3,8.4,399.4,0
date_1980-12-10_loc_Maffra,1,-7,1980-12-09T12:00:00Z,-37.001,147.506,78.8,1980-12-09T19:00:00Z,-37.9721,146.98525,50,962.8,302.9,299.6,0,250,36.9,8.2,8.3,409,0
date_1980-12-10_loc_Maffra,1,-8,1980-12-09T11:00:00Z,-36.906,147.595,82.3,1980-12-09T19:00:00Z,-37.9721,146.98525,50,962.4,303.4,300.1,0,607.5,35.8,8.2,8.3,413.7,0
date_1980-12-10_loc_Maffra,1,-9,1980-12-09T10:00:00Z,-36.823,147.682,85.2,1980-12-09T19:00:00Z,-37.9721,146.98525,50,962.3,304,300.6,0,932.2,34.7,8.2,8.3,412.8,0
date_1980-12-10_loc_Maffra,1,-10,1980-12-09T09:00:00Z,-36.753,147.767,87.3,1980-12-09T19:00:00Z,-37.9721,146.98525,50,962.2,304.5,301.1,0,1228.8,33.6,8.2,8.3,411.5,25.6
date_1980-12-10_loc_Maffra,1,-11,1980-12-09T08:00:00Z,-36.694,147.85,88.5,1980-12-09T19:00:00Z,-37.9721,146.98525,50,962.4,305,301.6,0,1501.1,32.3,8.1,8.2,409.8,130.5
date_1980-12-10_loc_Maffra,1,-12,1980-12-09T07:00:00Z,-36.646,147.932,88.9,1980-12-09T19:00:00Z,-37.9721,146.98525,50,962.7,305.5,302.2,0,1751.9,30.9,8,8.1,407.6,235.3
