run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1980-12-12_loc_Maffra,1,0,1980-12-11T19:00:00Z,-37.972,146.985,1000,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,868.9,302.1,290.1,0,303.7,41.3,5.7,5.7,294.3,34.1,4
date_1980-12-12_loc_Maffra,1,-1,1980-12-11T18:00:00Z,-37.785,146.707,999,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,868.3,302.3,290.3,0,254.8,40.3,5.6,5.7,304.4,0,4
date_1980-12-12_loc_Maffra,1,-2,1980-12-11T17:00:00Z,-37.599,146.445,996.4,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,867.4,303.3,291.2,0,251.9,38.6,5.7,5.7,317.8,0,4
date_1980-12-12_loc_Maffra,1,-3,1980-12-11T16:00:00Z,-37.429,146.191,988,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,868.5,303.9,291.9,0,251.9,37.2,5.7,5.8,316.8,0,4
date_1980-12-12_loc_Maffra,1,-4,1980-12-11T15:00:00Z,-37.279,145.945,974.2,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,871.3,304.2,292.4,0,260.3,36.3,5.8,5.8,306,0,4
date_1980-12-12_loc_Maffra,1,-5,1980-12-11T14:00:00Z,-37.155,145.71,955.2,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,874.8,304.4,292.9,0,274.6,35.5,5.8,5.8,293.7,0,4
date_1980-12-12_loc_Maffra,1,-6,1980-12-11T13:00:00Z,-37.063,145.483,931.3,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,878.9,304.4,293.4,0,294,35,5.8,5.9,280.4,0,4
date_1980-12-12_loc_Maffra,1,-7,1980-12-11T12:00:00Z,-37.006,145.26,903.1,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,883.4,304.3,293.7,0,316.4,34.8,5.9,5.9,266.6,0,4
date_1980-12-12_loc_Maffra,1,-8,1980-12-11T11:00:00Z,-36.972,145.037,872.5,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,887.7,304.3,294.1,0,472.9,33.8,5.8,5.9,262.7,0,4
date_1980-12-12_loc_Maffra,1,-9,1980-12-11T10:00:00Z,-36.946,144.815,841.9,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,892.1,304.2,294.4,0,621.3,32.9,5.8,5.8,247.4,0,4
date_1980-12-12_loc_Maffra,1,-10,1980-12-11T09:00:00Z,-36.929,144.595,811,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,896.6,304.2,294.9,0,770.9,31.8,5.7,5.8,232.2,101.9,4
date_1980-12-12_loc_Maffra,1,-11,1980-12-11T08:00:00Z,-36.921,144.374,780.1,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,901.1,304.3,295.4,0,920.9,30.7,5.7,5.7,217.2,316.6,4
date_1980-12-12_loc_Maffra,1,-12,1980-12-11T07:00:00Z,-36.923,144.15,749.2,1980-12-11T19:00:00Z,-37.9721,146.98525,1000,905.7,304.5,295.9,0,1069.2,29.4,5.6,5.6,202.2,527.3,4
