run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1981-03-02_loc_HORSHAM,1,0,1981-03-01T19:00:00Z,-36.722,142.173,50,1981-03-01T19:00:00Z,-36.7217,142.1729,50,990.1,291.6,290.7,0,1049.6,48.2,6.1,6.1,70.4,0,10
date_1981-03-02_loc_HORSHAM,1,-1,1981-03-01T18:00:00Z,-36.531,142.072,49.4,1981-03-01T19:00:00Z,-36.7217,142.1729,50,990.8,291.4,290.6,0,942.4,48.5,6,6.1,66.6,0,10
date_1981-03-02_loc_HORSHAM,1,-2,1981-03-01T17:00:00Z,-36.347,141.969,48.8,1981-03-01T19:00:00Z,-36.7217,142.1729,50,990.6,292,291.2,0,936.5,47,6.1,6.1,66.5,0,10
date_1981-03-02_loc_HORSHAM,1,-3,1981-03-01T16:00:00Z,-36.151,141.862,48.1,1981-03-01T19:00:00Z,-36.7217,142.1729,50,990.5,292.5,291.7,0,942.2,45.3,6.1,6.1,63.3,0,10
date_1981-03-02_loc_HORSHAM,1,-4,1981-03-01T15:00:00Z,-35.943,141.742,47.2,1981-03-01T19:00:00Z,-36.7217,142.1729,50,990.3,293.1,292.3,0,958.5,43.3,6,6,60.7,0,10
date_1981-03-02_loc_HORSHAM,1,-5,1981-03-01T14:00:00Z,-35.722,141.597,46.3,1981-03-01T19:00:00Z,-36.7217,142.1729,50,990.1,293.6,292.7,0,980.2,41.2,5.9,5.9,59.1,0,10
date_1981-03-02_loc_HORSHAM,1,-6,1981-03-01T13:00:00Z,-35.491,141.418,45.5,1981-03-01T19:00:00Z,-36.7217,142.1729,50,989.6,293.9,293.1,0,997.3,39,5.7,5.7,59.2,0,10
date_1981-03-02_loc_HORSHAM,1,-7,1981-03-01T12:00:00Z,-35.248,141.19,44.7,1981-03-01T19:00:00Z,-36.7217,142.1729,50,989,294.2,293.2,0,994.2,36.7,5.4,5.5,61.6,0,10
date_1981-03-02_loc_HORSHAM,1,-8,1981-03-01T11:00:00Z,-35.004,140.908,43.9,1981-03-01T19:00:00Z,-36.7217,142.1729,50,987.8,294.5,293.5,0,1110,35.9,5.4,5.4,72.4,0,10
date_1981-03-02_loc_HORSHAM,1,-9,1981-03-01T10:00:00Z,-34.77,140.582,42.9,1981-03-01T19:00:00Z,-36.7217,142.1729,50,985.6,294.7,293.5,0,1139.7,35.6,5.3,5.4,89.3,0,10
date_1981-03-02_loc_HORSHAM,1,-10,1981-03-01T09:00:00Z,-34.551,140.219,41.6,1981-03-01T19:00:00Z,-36.7217,142.1729,50,983.3,294.8,293.4,0,1165.3,34.7,5.2,5.2,108.1,53,10
date_1981-03-02_loc_HORSHAM,1,-11,1981-03-01T08:00:00Z,-34.35,139.808,40.3,1981-03-01T19:00:00Z,-36.7217,142.1729,50,981.6,294.9,293.3,0,1224.2,35.2,5.2,5.3,123.3,293.6,10
date_1981-03-02_loc_HORSHAM,1,-12,1981-03-01T07:00:00Z,-34.18,139.341,38.7,1981-03-01T19:00:00Z,-36.7217,142.1729,50,980.9,294.9,293.3,0,1281.5,37.5,5.6,5.6,131.5,521,10
