run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1981-10-23_loc_HORSHAM,1,0,1981-10-22T19:00:00Z,-36.722,142.173,50,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1009.4,282.9,283.7,0,584.1,80.9,6.3,6.4,74.9,0
date_1981-10-23_loc_HORSHAM,1,-1,1981-10-22T18:00:00Z,-36.86,142.19,53.5,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1008.6,282.4,283.1,0,535.3,85.2,6.4,6.4,77.4,0
date_1981-10-23_loc_HORSHAM,1,-2,1981-10-22T17:00:00Z,-37.003,142.201,57.4,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1007.7,282.8,283.4,0,560.8,83.4,6.4,6.4,74.4,0
date_1981-10-23_loc_HORSHAM,1,-3,1981-10-22T16:00:00Z,-37.151,142.191,59.6,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1007.1,283.1,283.7,0,584.3,81.9,6.4,6.5,77,0
date_1981-10-23_loc_HORSHAM,1,-4,1981-10-22T15:00:00Z,-37.304,142.159,60.1,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1006.8,283.4,284,0,605.5,81,6.5,6.5,79.4,0
date_1981-10-23_loc_HORSHAM,1,-5,1981-10-22T14:00:00Z,-37.463,142.107,59,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1006.6,283.7,284.2,0,624.1,80.5,6.5,6.6,81.5,0
date_1981-10-23_loc_HORSHAM,1,-6,1981-10-22T13:00:00Z,-37.627,142.038,56.4,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1007.4,283.9,284.5,0,641.1,80,6.6,6.7,77.2,0
date_1981-10-23_loc_HORSHAM,1,-7,1981-10-22T12:00:00Z,-37.797,141.955,52.8,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1008.5,284.1,284.8,0,656.6,79.7,6.7,6.7,70.7,0
date_1981-10-23_loc_HORSHAM,1,-8,1981-10-22T11:00:00Z,-37.975,141.865,49.3,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1008.9,284.4,285.1,0,736.2,78,6.7,6.8,71.6,0
date_1981-10-23_loc_HORSHAM,1,-9,1981-10-22T10:00:00Z,-38.161,141.771,46.9,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1009.2,284.7,285.5,0,788.9,76.8,6.7,6.8,63.3,0
date_1981-10-23_loc_HORSHAM,1,-10,1981-10-22T09:00:00Z,-38.358,141.67,45.3,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1009.5,284.9,285.7,0,815.2,76.3,6.8,6.9,54.6,0
date_1981-10-23_loc_HORSHAM,1,-11,1981-10-22T08:00:00Z,-38.566,141.562,44.4,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1009.9,285,285.8,0,815.5,76.5,6.9,6.9,45.5,97.9
date_1981-10-23_loc_HORSHAM,1,-12,1981-10-22T07:00:00Z,-38.788,141.443,44.2,1981-10-22T19:00:00Z,-36.7217,142.1729,50,1010.3,285,285.9,0,791.1,77.4,7,7,35.8,206.8
