run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1982-01-18_loc_Yanakie,1,0,1982-01-17T19:00:00Z,-38.837,146.229,50,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,990.8,290.2,289.4,0,350,87.9,10.2,10.3,193.3,0
date_1982-01-18_loc_Yanakie,1,-1,1982-01-17T18:00:00Z,-39.011,146.346,48.4,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,992.3,289.8,289.1,0,330.8,89.7,10.1,10.3,178.9,0
date_1982-01-18_loc_Yanakie,1,-2,1982-01-17T17:00:00Z,-39.196,146.466,45.4,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,994.7,289.6,289.1,0,328.5,90.6,10.2,10.4,159.5,0
date_1982-01-18_loc_Yanakie,1,-3,1982-01-17T16:00:00Z,-39.384,146.607,40.6,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,997.4,289.4,289.1,0,321.1,92,10.3,10.5,142.9,0
date_1982-01-18_loc_Yanakie,1,-4,1982-01-17T15:00:00Z,-39.576,146.77,34.4,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1000.4,289,289.1,0,308.8,93.8,10.5,10.7,125.2,0
date_1982-01-18_loc_Yanakie,1,-5,1982-01-17T14:00:00Z,-39.769,146.956,27.2,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1003.6,288.6,288.9,0,292.2,96.1,10.6,10.8,106.5,0
date_1982-01-18_loc_Yanakie,1,-6,1982-01-17T13:00:00Z,-39.958,147.166,20,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1007,288.1,288.7,0,272.2,98.5,10.7,10.9,86.9,0
date_1982-01-18_loc_Yanakie,1,-7,1982-01-17T12:00:00Z,-40.14,147.392,13.9,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1008.3,287.8,288.4,0,258,99,10.5,10.7,85.8,0
date_1982-01-18_loc_Yanakie,1,-8,1982-01-17T11:00:00Z,-40.314,147.605,9.7,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1008.4,288.1,288.8,0,266.1,96,10.5,10.6,77.2,0
date_1982-01-18_loc_Yanakie,1,-9,1982-01-17T10:00:00Z,-40.485,147.786,7,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1008.2,288.5,289.1,0,273.8,93.3,10.4,10.6,77,0
date_1982-01-18_loc_Yanakie,1,-10,1982-01-17T09:00:00Z,-40.655,147.932,4.8,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1007.8,288.8,289.4,0,281.8,90.9,10.3,10.5,77.7,56.8
date_1982-01-18_loc_Yanakie,1,-11,1982-01-17T08:00:00Z,-40.823,148.045,3.2,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1007.3,289.1,289.7,0,290.6,88.7,10.2,10.4,79.2,158.5
date_1982-01-18_loc_Yanakie,1,-12,1982-01-17T07:00:00Z,-40.992,148.127,2.2,1982-01-17T19:00:00Z,-38.836745828938,146.228722703372,50,1006.7,289.3,289.9,0,300.6,86.8,10.2,10.3,81.7,257.8
