run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1982-01-22_loc_HAMILTON,1,0,1982-01-21T19:00:00Z,-37.822,142.067,50,1982-01-21T19:00:00Z,-37.8216,142.0668,50,996.2,291.6,291.3,0,265.8,63,8.2,8.3,77.1,0
date_1982-01-22_loc_HAMILTON,1,-1,1982-01-21T18:00:00Z,-37.833,142.12,51.8,1982-01-21T19:00:00Z,-37.8216,142.0668,50,996,291.2,290.9,0,250,63.7,8,8.1,77.5,0
date_1982-01-22_loc_HAMILTON,1,-2,1982-01-21T17:00:00Z,-37.852,142.166,53.7,1982-01-21T19:00:00Z,-37.8216,142.0668,50,995.8,291.4,291,0,250.4,63.7,8.1,8.2,68.6,0
date_1982-01-22_loc_HAMILTON,1,-3,1982-01-21T16:00:00Z,-37.91,142.195,55.1,1982-01-21T19:00:00Z,-37.8216,142.0668,50,995.9,291.5,291.2,0,250.9,64.3,8.2,8.4,67.4,0
date_1982-01-22_loc_HAMILTON,1,-4,1982-01-21T15:00:00Z,-38.007,142.202,55.8,1982-01-21T19:00:00Z,-37.8216,142.0668,50,996.3,291.5,291.2,0,251.6,65.8,8.4,8.5,64.7,0
date_1982-01-22_loc_HAMILTON,1,-5,1982-01-21T14:00:00Z,-38.14,142.185,55.8,1982-01-21T19:00:00Z,-37.8216,142.0668,50,996.9,291.3,291.1,0,252.9,68.1,8.7,8.8,60.6,0
date_1982-01-22_loc_HAMILTON,1,-6,1982-01-21T13:00:00Z,-38.306,142.14,54.9,1982-01-21T19:00:00Z,-37.8216,142.0668,50,997.8,291,290.8,0,255.2,71.3,8.9,9.1,55.2,0
date_1982-01-22_loc_HAMILTON,1,-7,1982-01-21T12:00:00Z,-38.5,142.062,53,1982-01-21T19:00:00Z,-37.8216,142.0668,50,999,290.5,290.4,0,259.5,75.5,9.2,9.3,48.6,0
date_1982-01-22_loc_HAMILTON,1,-8,1982-01-21T11:00:00Z,-38.702,141.953,51,1982-01-21T19:00:00Z,-37.8216,142.0668,50,999.7,290.8,290.8,0,287.4,76.6,9.6,9.7,43.9,0
date_1982-01-22_loc_HAMILTON,1,-9,1982-01-21T10:00:00Z,-38.899,141.822,50.1,1982-01-21T19:00:00Z,-37.8216,142.0668,50,1000.5,291,291,0,304.1,78,9.9,10,34.3,0
date_1982-01-22_loc_HAMILTON,1,-10,1982-01-21T09:00:00Z,-39.088,141.674,50.5,1982-01-21T19:00:00Z,-37.8216,142.0668,50,1001.1,291.1,291.1,0,310.3,79.5,10.1,10.3,25,183.4
date_1982-01-22_loc_HAMILTON,1,-11,1982-01-21T08:00:00Z,-39.269,141.512,52.7,1982-01-21T19:00:00Z,-37.8216,142.0668,50,1001.7,291,291.1,0,307.1,81.3,10.3,10.5,16.2,396
date_1982-01-22_loc_HAMILTON,1,-12,1982-01-21T07:00:00Z,-39.443,141.343,57,1982-01-21T19:00:00Z,-37.8216,142.0668,50,1002.1,290.8,291,0,295.8,83.3,10.5,10.7,7.8,596.6
