run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1982-02-01_loc_RUTHERGLEN,1,0,1982-01-31T19:00:00Z,-36.101,146.507,50,1982-01-31T19:00:00Z,-36.101,146.5073,50,965.6,290.1,287.2,0,588.3,67.7,6.9,7,360.2,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-1,1982-01-31T18:00:00Z,-36.196,146.442,51.2,1982-01-31T19:00:00Z,-36.101,146.5073,50,966.2,289.4,286.6,0,539.8,70.3,6.9,7,352.9,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-2,1982-01-31T17:00:00Z,-36.297,146.37,52.3,1982-01-31T19:00:00Z,-36.101,146.5073,50,967.1,289.9,287.2,0,645.1,68.4,7,7.1,343.2,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-3,1982-01-31T16:00:00Z,-36.403,146.302,52.9,1982-01-31T19:00:00Z,-36.101,146.5073,50,968,290.4,287.7,0,748,66.7,7.1,7.1,335.3,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-4,1982-01-31T15:00:00Z,-36.511,146.237,52.9,1982-01-31T19:00:00Z,-36.101,146.5073,50,969,290.8,288.2,0,848.2,65.3,7.1,7.2,328,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-5,1982-01-31T14:00:00Z,-36.622,146.173,52.3,1982-01-31T19:00:00Z,-36.101,146.5073,50,970,291.2,288.6,0,945.7,64.3,7.2,7.3,321.1,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-6,1982-01-31T13:00:00Z,-36.736,146.106,51.3,1982-01-31T19:00:00Z,-36.101,146.5073,50,971,291.5,289.1,0,1041.2,63.5,7.3,7.4,314.4,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-7,1982-01-31T12:00:00Z,-36.851,146.034,49.8,1982-01-31T19:00:00Z,-36.101,146.5073,50,972.1,291.8,289.4,0,1135.4,63,7.4,7.5,307.9,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-8,1982-01-31T11:00:00Z,-36.972,145.943,48.3,1982-01-31T19:00:00Z,-36.101,146.5073,50,972.3,292.3,290,0,1153.5,61.2,7.5,7.6,309.1,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-9,1982-01-31T10:00:00Z,-37.105,145.82,47.1,1982-01-31T19:00:00Z,-36.101,146.5073,50,972.6,292.8,290.5,0,1172.9,59.6,7.5,7.6,300.2,0,5
date_1982-02-01_loc_RUTHERGLEN,1,-10,1982-01-31T09:00:00Z,-37.252,145.669,46.2,1982-01-31T19:00:00Z,-36.101,146.5073,50,973.1,293.2,290.9,0,1193.7,58.1,7.5,7.6,290.6,47.1,5
date_1982-02-01_loc_RUTHERGLEN,1,-11,1982-01-31T08:00:00Z,-37.414,145.493,45.6,1982-01-31T19:00:00Z,-36.101,146.5073,50,973.5,293.5,291.2,0,1216.2,57,7.5,7.6,281,158,5
date_1982-02-01_loc_RUTHERGLEN,1,-12,1982-01-31T07:00:00Z,-37.594,145.296,45.5,1982-01-31T19:00:00Z,-36.101,146.5073,50,974.7,293.7,291.5,0,1215.7,56.2,7.5,7.6,264.1,264.7,5
