run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1982-02-16_loc_ARARAT,1,0,1982-02-15T19:00:00Z,-37.397,143.084,1000,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,885,298.1,287.8,0,687.7,74.5,8.7,8.8,129.6,0,11
date_1982-02-16_loc_ARARAT,1,-1,1982-02-15T18:00:00Z,-37.329,142.59,995.1,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,888.3,297.6,287.7,0,672.3,74.1,8.5,8.7,98.3,0,11
date_1982-02-16_loc_ARARAT,1,-2,1982-02-15T17:00:00Z,-37.257,142.088,989.9,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,890.3,297.6,287.9,0,759.8,72.2,8.4,8.5,82.3,0,11
date_1982-02-16_loc_ARARAT,1,-3,1982-02-15T16:00:00Z,-37.172,141.585,985.8,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,891.7,297.5,287.9,0,814.7,70.9,8.3,8.4,75,0,11
date_1982-02-16_loc_ARARAT,1,-4,1982-02-15T15:00:00Z,-37.076,141.075,985.4,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,892.6,297.4,287.9,0,835.5,70.4,8.2,8.3,69.1,0,11
date_1982-02-16_loc_ARARAT,1,-5,1982-02-15T14:00:00Z,-36.974,140.553,991.3,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,892.6,297.2,287.7,0,830.2,70.9,8.1,8.2,64.9,0,11
date_1982-02-16_loc_ARARAT,1,-6,1982-02-15T13:00:00Z,-36.867,140.014,1006.4,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,891.4,297,287.4,0,808.1,72.3,8.1,8.2,62.4,0,11
date_1982-02-16_loc_ARARAT,1,-7,1982-02-15T12:00:00Z,-36.762,139.464,1031.9,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,889.1,296.8,287,0,802.4,69.8,7.7,7.8,58.4,0,11
date_1982-02-16_loc_ARARAT,1,-8,1982-02-15T11:00:00Z,-36.648,138.924,1062.2,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,885.1,296.7,286.5,0,811.6,68.8,7.4,7.5,55.2,0,11
date_1982-02-16_loc_ARARAT,1,-9,1982-02-15T10:00:00Z,-36.51,138.403,1090.9,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,881.6,296.7,286.1,0,831.7,68.4,7.2,7.3,50.2,0,11
date_1982-02-16_loc_ARARAT,1,-10,1982-02-15T09:00:00Z,-36.353,137.882,1116.1,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,878.5,296.7,285.9,0,864.4,68.7,7.1,7.2,46.7,78.1,11
date_1982-02-16_loc_ARARAT,1,-11,1982-02-15T08:00:00Z,-36.184,137.35,1135.9,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,876.1,296.8,285.8,0,905.4,69.2,7.1,7.2,43.5,194,11
date_1982-02-16_loc_ARARAT,1,-12,1982-02-15T07:00:00Z,-36.016,136.801,1149.3,1982-02-15T19:00:00Z,-37.397341,143.083979,1000,875.2,297,285.8,0,902.8,67,6.9,7,36.5,301.6,11
