run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1982-03-13_loc_RUTHERGLEN,1,0,1982-03-12T19:00:00Z,-36.101,146.507,50,1982-03-12T19:00:00Z,-36.101,146.5073,50,970.5,292.4,289.9,0,358.6,71.6,8.7,8.8,366.9,0
date_1982-03-13_loc_RUTHERGLEN,1,-1,1982-03-12T18:00:00Z,-36.118,146.665,52.9,1982-03-12T19:00:00Z,-36.101,146.5073,50,968.4,292,289.3,0,308,74.4,8.7,8.9,379.8,0
date_1982-03-13_loc_RUTHERGLEN,1,-2,1982-03-12T17:00:00Z,-36.142,146.83,56,1982-03-12T19:00:00Z,-36.101,146.5073,50,966.8,292.3,289.5,0,345.1,73.4,8.7,8.9,393.6,0
date_1982-03-13_loc_RUTHERGLEN,1,-3,1982-03-12T16:00:00Z,-36.158,147.01,58.4,1982-03-12T19:00:00Z,-36.101,146.5073,50,965.2,292.6,289.7,0,378.7,72.5,8.7,8.8,408.4,0
date_1982-03-13_loc_RUTHERGLEN,1,-4,1982-03-12T15:00:00Z,-36.165,147.208,60.1,1982-03-12T19:00:00Z,-36.101,146.5073,50,963.5,292.9,289.8,0,408.2,71.6,8.7,8.8,425,0
date_1982-03-13_loc_RUTHERGLEN,1,-5,1982-03-12T14:00:00Z,-36.16,147.428,60.8,1982-03-12T19:00:00Z,-36.101,146.5073,50,961.6,293.1,289.9,0,432.6,70.8,8.7,8.8,443.9,0
date_1982-03-13_loc_RUTHERGLEN,1,-6,1982-03-12T13:00:00Z,-36.146,147.671,60.7,1982-03-12T19:00:00Z,-36.101,146.5073,50,962.1,293.3,290.1,0,461,70.3,8.7,8.8,442.1,0
date_1982-03-13_loc_RUTHERGLEN,1,-7,1982-03-12T12:00:00Z,-36.131,147.934,59.7,1982-03-12T19:00:00Z,-36.101,146.5073,50,963.9,293.3,290.2,0,487.7,70.3,8.8,8.9,429.7,0
date_1982-03-13_loc_RUTHERGLEN,1,-8,1982-03-12T11:00:00Z,-36.125,148.202,58,1982-03-12T19:00:00Z,-36.101,146.5073,50,965.2,294,291.1,0,576.6,67.8,8.9,9,418.6,0
date_1982-03-13_loc_RUTHERGLEN,1,-9,1982-03-12T10:00:00Z,-36.136,148.46,56,1982-03-12T19:00:00Z,-36.101,146.5073,50,966.6,294.7,291.8,0,654.9,65.3,9,9.1,404.5,0
date_1982-03-13_loc_RUTHERGLEN,1,-10,1982-03-12T09:00:00Z,-36.162,148.71,53.6,1982-03-12T19:00:00Z,-36.101,146.5073,50,968.2,295.2,292.5,0,721.3,62.7,9,9.1,389.7,0
date_1982-03-13_loc_RUTHERGLEN,1,-11,1982-03-12T08:00:00Z,-36.202,148.954,50.9,1982-03-12T19:00:00Z,-36.101,146.5073,50,969.9,295.7,293.1,0,774.6,60.3,9,9.1,374,96.2
date_1982-03-13_loc_RUTHERGLEN,1,-12,1982-03-12T07:00:00Z,-36.254,149.194,48.1,1982-03-12T19:00:00Z,-36.101,146.5073,50,971.8,296.1,293.7,0,813.7,57.9,8.9,9,357.3,320.5
