run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1982-04-15_loc_HAMILTON,1,0,1982-04-14T19:00:00Z,-37.822,142.067,1000,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,897.8,297.7,288.6,0,298.8,46.3,5.6,5.7,84.2,0,3
date_1982-04-15_loc_HAMILTON,1,-1,1982-04-14T18:00:00Z,-37.485,141.737,961.7,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,901.5,297.9,289.2,0,250,44.6,5.6,5.6,88.8,0,3
date_1982-04-15_loc_HAMILTON,1,-2,1982-04-14T17:00:00Z,-37.162,141.456,926.6,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,906.8,298.1,289.9,0,270.5,43.3,5.6,5.7,87.8,0,3
date_1982-04-15_loc_HAMILTON,1,-3,1982-04-14T16:00:00Z,-36.851,141.206,896.8,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,910.6,298.4,290.5,0,289,42,5.7,5.7,82.7,0,3
date_1982-04-15_loc_HAMILTON,1,-4,1982-04-14T15:00:00Z,-36.556,140.981,870.9,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,913.7,298.6,291,0,306.9,40.8,5.7,5.7,80.6,0,3
date_1982-04-15_loc_HAMILTON,1,-5,1982-04-14T14:00:00Z,-36.278,140.773,847.7,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,916.3,298.9,291.5,0,325.6,39.6,5.6,5.7,81,0,3
date_1982-04-15_loc_HAMILTON,1,-6,1982-04-14T13:00:00Z,-36.016,140.573,826.2,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,918.6,299.2,292,0,346.2,38.4,5.6,5.7,83.4,0,3
date_1982-04-15_loc_HAMILTON,1,-7,1982-04-14T12:00:00Z,-35.771,140.376,805.4,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,920.7,299.4,292.4,0,369.7,37.2,5.6,5.6,87.7,0,3
date_1982-04-15_loc_HAMILTON,1,-8,1982-04-14T11:00:00Z,-35.539,140.176,785.4,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,922.1,299.6,292.7,0,648.9,36.4,5.6,5.6,90.3,0,3
date_1982-04-15_loc_HAMILTON,1,-9,1982-04-14T10:00:00Z,-35.316,139.975,766.2,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,923.3,299.8,293.1,0,946.2,35.5,5.5,5.6,97.5,0,3
date_1982-04-15_loc_HAMILTON,1,-10,1982-04-14T09:00:00Z,-35.102,139.776,748.2,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,925,300,293.3,0,1211.2,35.3,5.6,5.6,100.4,0,3
date_1982-04-15_loc_HAMILTON,1,-11,1982-04-14T08:00:00Z,-34.899,139.582,731.4,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,926.1,300,293.5,0,1460.3,35.3,5.6,5.7,106.4,30.9,3
date_1982-04-15_loc_HAMILTON,1,-12,1982-04-14T07:00:00Z,-34.706,139.397,715.2,1982-04-14T19:00:00Z,-37.8216,142.0668,1000,926.7,300.1,293.6,0,1686.8,35.6,5.7,5.8,115.1,144,3
