run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1983-11-11_loc_BALLARAT,1,0,1983-11-10T19:00:00Z,-37.562,143.851,50,1983-11-10T19:00:00Z,-37.5619,143.8508,50,992,282.9,282.2,0,427.2,73.8,5.3,5.4,179.4,0,4
date_1983-11-11_loc_BALLARAT,1,-1,1983-11-10T18:00:00Z,-37.6,143.818,55.6,1983-11-10T19:00:00Z,-37.5619,143.8508,50,992,282.5,281.8,0,392.1,76.8,5.4,5.4,175.4,0,4
date_1983-11-11_loc_BALLARAT,1,-2,1983-11-10T17:00:00Z,-37.656,143.78,61.9,1983-11-10T19:00:00Z,-37.5619,143.8508,50,992,282.8,282.1,0,438.8,75.8,5.4,5.5,164.6,0,4
date_1983-11-11_loc_BALLARAT,1,-3,1983-11-10T16:00:00Z,-37.733,143.739,67.1,1983-11-10T19:00:00Z,-37.5619,143.8508,50,992.4,283,282.4,0,488.3,75,5.5,5.5,158.1,0,4
date_1983-11-11_loc_BALLARAT,1,-4,1983-11-10T15:00:00Z,-37.83,143.691,71.3,1983-11-10T19:00:00Z,-37.5619,143.8508,50,993,283.2,282.7,0,540.6,74.4,5.5,5.6,150.4,0,4
date_1983-11-11_loc_BALLARAT,1,-5,1983-11-10T14:00:00Z,-37.948,143.635,74,1983-11-10T19:00:00Z,-37.5619,143.8508,50,994,283.4,282.9,0,596.2,74,5.6,5.6,141.2,0,4
date_1983-11-11_loc_BALLARAT,1,-6,1983-11-10T13:00:00Z,-38.088,143.57,75.4,1983-11-10T19:00:00Z,-37.5619,143.8508,50,995.1,283.5,283.1,0,655.4,73.9,5.6,5.7,130.5,0,4
date_1983-11-11_loc_BALLARAT,1,-7,1983-11-10T12:00:00Z,-38.251,143.493,75.2,1983-11-10T19:00:00Z,-37.5619,143.8508,50,996.7,283.5,283.3,0,718.5,74.3,5.7,5.7,118.5,0,4
date_1983-11-11_loc_BALLARAT,1,-8,1983-11-10T11:00:00Z,-38.426,143.399,74,1983-11-10T19:00:00Z,-37.5619,143.8508,50,998.2,284,283.9,0,778.9,72.2,5.8,5.8,105.3,0,4
date_1983-11-11_loc_BALLARAT,1,-9,1983-11-10T10:00:00Z,-38.604,143.288,72.3,1983-11-10T19:00:00Z,-37.5619,143.8508,50,999.7,284.5,284.4,0,825.8,70.6,5.8,5.9,91,0,4
date_1983-11-11_loc_BALLARAT,1,-10,1983-11-10T09:00:00Z,-38.785,143.161,70.1,1983-11-10T19:00:00Z,-37.5619,143.8508,50,1001.4,284.8,284.9,0,860.9,69.4,5.9,6,76.4,29.6,4
date_1983-11-11_loc_BALLARAT,1,-11,1983-11-10T08:00:00Z,-38.969,143.021,67.8,1983-11-10T19:00:00Z,-37.5619,143.8508,50,1003.1,285,285.3,0,886.8,68.6,6,6,61.7,246.3,4
date_1983-11-11_loc_BALLARAT,1,-12,1983-11-10T07:00:00Z,-39.157,142.868,65.3,1983-11-10T19:00:00Z,-37.5619,143.8508,50,1004.9,285.2,285.6,0,906.4,68.2,6,6.1,47.1,459.1,4
