run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1983-11-14_loc_BALLARAT,1,0,1983-11-13T19:00:00Z,-37.562,143.851,50,1983-11-13T19:00:00Z,-37.5619,143.8508,50,980.5,296.9,295.2,0,311.4,32.4,5.4,5.5,183.3,0
date_1983-11-14_loc_BALLARAT,1,-1,1983-11-13T18:00:00Z,-37.305,144.037,48.1,1983-11-13T19:00:00Z,-37.5619,143.8508,50,980.3,296.5,294.8,0,250,33.7,5.5,5.6,194.3,0
date_1983-11-14_loc_BALLARAT,1,-2,1983-11-13T17:00:00Z,-37.081,144.241,47.2,1983-11-13T19:00:00Z,-37.5619,143.8508,50,980.9,296.2,294.6,0,250,34.8,5.6,5.7,197.9,0
date_1983-11-14_loc_BALLARAT,1,-3,1983-11-13T16:00:00Z,-36.898,144.439,46.7,1983-11-13T19:00:00Z,-37.5619,143.8508,50,981.3,296,294.4,0,250,35.3,5.6,5.7,206.7,0
date_1983-11-14_loc_BALLARAT,1,-4,1983-11-13T15:00:00Z,-36.756,144.635,46.6,1983-11-13T19:00:00Z,-37.5619,143.8508,50,981.5,295.9,294.3,0,250,35.4,5.6,5.6,216.3,0
date_1983-11-14_loc_BALLARAT,1,-5,1983-11-13T14:00:00Z,-36.658,144.829,46.8,1983-11-13T19:00:00Z,-37.5619,143.8508,50,981.5,295.8,294.2,0,250,35,5.5,5.6,226.6,0
date_1983-11-14_loc_BALLARAT,1,-6,1983-11-13T13:00:00Z,-36.607,145.024,47.4,1983-11-13T19:00:00Z,-37.5619,143.8508,50,981.3,295.7,294.1,0,250,34.5,5.4,5.5,238.1,0
date_1983-11-14_loc_BALLARAT,1,-7,1983-11-13T12:00:00Z,-36.603,145.223,48.1,1983-11-13T19:00:00Z,-37.5619,143.8508,50,980.6,295.5,293.9,0,250,34.6,5.3,5.4,252.9,0
date_1983-11-14_loc_BALLARAT,1,-8,1983-11-13T11:00:00Z,-36.626,145.416,49,1983-11-13T19:00:00Z,-37.5619,143.8508,50,979.2,296.1,294.4,0,446.6,33.8,5.4,5.4,266.2,0
date_1983-11-14_loc_BALLARAT,1,-9,1983-11-13T10:00:00Z,-36.655,145.59,50,1983-11-13T19:00:00Z,-37.5619,143.8508,50,977.9,296.7,294.9,0,615.4,32.5,5.3,5.4,279.7,0
date_1983-11-14_loc_BALLARAT,1,-10,1983-11-13T09:00:00Z,-36.689,145.745,51.1,1983-11-13T19:00:00Z,-37.5619,143.8508,50,976.8,297.3,295.3,0,759.4,30.9,5.2,5.3,291.5,0
date_1983-11-14_loc_BALLARAT,1,-11,1983-11-13T08:00:00Z,-36.727,145.878,52.3,1983-11-13T19:00:00Z,-37.5619,143.8508,50,975.8,297.9,295.8,0,882.2,29,5.1,5.1,301.3,103.2
date_1983-11-14_loc_BALLARAT,1,-12,1983-11-13T07:00:00Z,-36.769,145.991,53.6,1983-11-13T19:00:00Z,-37.5619,143.8508,50,975.1,298.4,296.3,0,987.3,26.8,4.8,4.9,309.4,211.3
