run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1983-11-24_loc_Yanakie,1,0,1983-11-23T19:00:00Z,-38.837,146.229,50,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,995.7,287,286.6,0,464.3,86.9,8.3,8.4,192.5,20.6,3
date_1983-11-24_loc_Yanakie,1,-1,1983-11-23T18:00:00Z,-38.852,146.274,52.6,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,995.3,286.8,286.4,0,454.3,88.6,8.3,8.5,192.1,0,3
date_1983-11-24_loc_Yanakie,1,-2,1983-11-23T17:00:00Z,-38.878,146.326,55.5,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,995.5,286.9,286.5,0,428.2,88.2,8.4,8.5,184.9,0,3
date_1983-11-24_loc_Yanakie,1,-3,1983-11-23T16:00:00Z,-38.909,146.398,57.8,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,995.8,287.1,286.7,0,400.4,87.9,8.5,8.6,183.2,0,3
date_1983-11-24_loc_Yanakie,1,-4,1983-11-23T15:00:00Z,-38.943,146.491,59.5,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,996.1,287.2,286.8,0,370.2,87.8,8.5,8.7,181.4,0,3
date_1983-11-24_loc_Yanakie,1,-5,1983-11-23T14:00:00Z,-38.98,146.605,60.6,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,996.6,287.3,287,0,337.3,87.9,8.6,8.7,179.5,0,3
date_1983-11-24_loc_Yanakie,1,-6,1983-11-23T13:00:00Z,-39.02,146.743,60.9,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,997.2,287.4,287.1,0,301.3,88.2,8.7,8.8,177.5,0,3
date_1983-11-24_loc_Yanakie,1,-7,1983-11-23T12:00:00Z,-39.062,146.903,60.5,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,998,287.4,287.2,0,261.7,88.6,8.8,8.9,175.3,0,3
date_1983-11-24_loc_Yanakie,1,-8,1983-11-23T11:00:00Z,-39.113,147.084,59.7,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,998.4,287.8,287.6,0,342.2,87.4,8.9,9,172.3,0,3
date_1983-11-24_loc_Yanakie,1,-9,1983-11-23T10:00:00Z,-39.178,147.281,59.1,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,999.1,288.1,288,0,411.4,86.4,9,9.1,167.7,0,3
date_1983-11-24_loc_Yanakie,1,-10,1983-11-23T09:00:00Z,-39.256,147.495,58.8,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,999.9,288.3,288.3,0,465.5,85.8,9.1,9.3,161.1,24.1,3
date_1983-11-24_loc_Yanakie,1,-11,1983-11-23T08:00:00Z,-39.346,147.725,58.6,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,1002.3,288.3,288.5,0,488.6,85.4,9.2,9.3,141.2,228.5,3
date_1983-11-24_loc_Yanakie,1,-12,1983-11-23T07:00:00Z,-39.445,147.968,58.7,1983-11-23T19:00:00Z,-38.836745828938,146.228722703372,50,1004.8,288.2,288.6,0,484.2,85.4,9.2,9.4,120.4,433.1,3
