run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1986-09-28_loc_Newholme,1,0,1986-09-27T19:00:00Z,-30.427,151.659,50,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,967.4,292.4,289.6,0.5,302.6,86.6,10.4,10.6,417.1,0
date_1986-09-28_loc_Newholme,1,-1,1986-09-27T18:00:00Z,-30.288,151.737,48.2,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,966.5,292.3,289.5,0.5,250,86,10.2,10.4,422.3,0
date_1986-09-28_loc_Newholme,1,-2,1986-09-27T17:00:00Z,-30.12,151.811,46.6,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,966.2,292.6,289.8,0.1,250,85.1,10.3,10.5,429.6,0
date_1986-09-28_loc_Newholme,1,-3,1986-09-27T16:00:00Z,-29.929,151.894,44.7,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,966.5,292.8,290,0.1,250,84.8,10.4,10.6,431.7,0
date_1986-09-28_loc_Newholme,1,-4,1986-09-27T15:00:00Z,-29.725,151.983,42.8,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,968.4,292.9,290.2,0.1,250,85.5,10.6,10.8,419.6,0
date_1986-09-28_loc_Newholme,1,-5,1986-09-27T14:00:00Z,-29.515,152.079,40.8,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,970.5,292.9,290.4,0.1,250,86.6,10.9,11.1,406.4,0
date_1986-09-28_loc_Newholme,1,-6,1986-09-27T13:00:00Z,-29.297,152.183,38.9,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,972.7,292.9,290.6,0.1,250,88.1,11.2,11.4,391.9,0
date_1986-09-28_loc_Newholme,1,-7,1986-09-27T12:00:00Z,-29.072,152.296,36.9,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,975.1,292.9,290.8,0.1,250,90,11.5,11.7,376,0
date_1986-09-28_loc_Newholme,1,-8,1986-09-27T11:00:00Z,-28.844,152.416,35.3,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,977,293.4,291.5,0.3,328.8,88.2,11.8,12,358.7,0
date_1986-09-28_loc_Newholme,1,-9,1986-09-27T10:00:00Z,-28.62,152.546,34.1,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,979.4,293.9,292.1,0.4,375.8,86.2,11.9,12.2,335.9,0
date_1986-09-28_loc_Newholme,1,-10,1986-09-27T09:00:00Z,-28.397,152.686,33.1,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,982.8,294.3,292.8,0.4,415.7,83.7,12,12.3,304.4,0
date_1986-09-28_loc_Newholme,1,-11,1986-09-27T08:00:00Z,-28.171,152.835,32.4,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,986.3,294.5,293.3,0.4,435,81.9,12.2,12.4,272.5,0
date_1986-09-28_loc_Newholme,1,-12,1986-09-27T07:00:00Z,-27.939,152.992,32,1986-09-27T19:00:00Z,-30.4269444,151.65861111111099,50,989.8,294.7,293.8,0.4,434,80.8,12.3,12.5,240.5,87.8
