run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1986-10-09_loc_Newholme,1,0,1986-10-08T19:00:00Z,-30.427,151.659,50,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,955.7,291.2,287.4,0.2,536.9,85.1,9,9.1,415,0,1
date_1986-10-09_loc_Newholme,1,-1,1986-10-08T18:00:00Z,-30.151,151.653,48.2,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,954.7,291,287.1,0.2,508.8,85.4,8.8,8.9,426.1,0,1
date_1986-10-09_loc_Newholme,1,-2,1986-10-08T17:00:00Z,-29.864,151.648,46.4,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,955.3,291.2,287.4,0,455.8,84.9,8.9,9,433.4,0,1
date_1986-10-09_loc_Newholme,1,-3,1986-10-08T16:00:00Z,-29.61,151.662,44.9,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,957.3,291.4,287.8,0,416.6,83.2,9,9.1,420.9,0,1
date_1986-10-09_loc_Newholme,1,-4,1986-10-08T15:00:00Z,-29.396,151.698,43.6,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,959,291.8,288.3,0,388.8,80.3,8.9,9.1,410,0,1
date_1986-10-09_loc_Newholme,1,-5,1986-10-08T14:00:00Z,-29.222,151.755,42.4,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,960.5,292.3,288.9,0,369.9,76.7,8.8,9,400.3,0,1
date_1986-10-09_loc_Newholme,1,-6,1986-10-08T13:00:00Z,-29.084,151.833,41.3,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,961.8,292.8,289.5,0,357.5,72.5,8.7,8.8,391.8,0,1
date_1986-10-09_loc_Newholme,1,-7,1986-10-08T12:00:00Z,-28.982,151.932,40.1,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,963,293.3,290.2,0,349.9,67.9,8.5,8.6,384.2,0,1
date_1986-10-09_loc_Newholme,1,-8,1986-10-08T11:00:00Z,-28.912,152.022,39.1,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,963.8,294.2,291.2,0,497.5,62.4,8.3,8.4,376.3,0,1
date_1986-10-09_loc_Newholme,1,-9,1986-10-08T10:00:00Z,-28.873,152.073,38.1,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,964.3,295.1,292,0,644.6,57.5,8,8.1,373.3,0,1
date_1986-10-09_loc_Newholme,1,-10,1986-10-08T09:00:00Z,-28.862,152.087,37.2,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,964.5,295.8,292.8,0,789.7,53,7.8,7.9,372.5,0,1
date_1986-10-09_loc_Newholme,1,-11,1986-10-08T08:00:00Z,-28.878,152.064,36.5,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,964.4,296.5,293.5,0,930.9,48.8,7.5,7.6,373.8,0,1
date_1986-10-09_loc_Newholme,1,-12,1986-10-08T07:00:00Z,-28.919,152.002,35.9,1986-10-08T19:00:00Z,-30.4269444,151.65861111111099,50,964,297.2,294.1,0,1066.3,44.9,7.1,7.2,377,215.4,1
