run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1986-10-27_loc_Thora,1,0,1986-10-26T19:00:00Z,-30.42,152.806,1000,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,864.9,293.6,281.6,0.1,551.1,56.2,4.4,4.5,351,0,1
date_1986-10-27_loc_Thora,1,-1,1986-10-26T18:00:00Z,-30.492,152.747,1006.5,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,864.1,293.5,281.5,0.1,508.9,55.2,4.3,4.4,354.2,0,1
date_1986-10-27_loc_Thora,1,-2,1986-10-26T17:00:00Z,-30.572,152.657,1014.8,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,861.6,293.7,281.5,0,601.3,54.7,4.3,4.3,363.4,0,1
date_1986-10-27_loc_Thora,1,-3,1986-10-26T16:00:00Z,-30.641,152.532,1017.4,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,859.9,294,281.5,0,686.4,53.6,4.2,4.3,376.2,0,1
date_1986-10-27_loc_Thora,1,-4,1986-10-26T15:00:00Z,-30.702,152.375,1014.8,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,859.6,294.2,281.7,0,755.3,52.4,4.2,4.2,380.5,0,1
date_1986-10-27_loc_Thora,1,-5,1986-10-26T14:00:00Z,-30.756,152.189,1007.1,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,860,294.4,282,0,797.1,51.1,4.2,4.2,383,0,1
date_1986-10-27_loc_Thora,1,-6,1986-10-26T13:00:00Z,-30.806,151.976,994.4,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,860.9,294.7,282.3,0,812.9,49.6,4.1,4.2,387.3,0,1
date_1986-10-27_loc_Thora,1,-7,1986-10-26T12:00:00Z,-30.855,151.736,977.3,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,862,295,282.7,0,802.1,48.1,4.1,4.1,393.4,0,1
date_1986-10-27_loc_Thora,1,-8,1986-10-26T11:00:00Z,-30.897,151.486,958.6,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,863.1,294.9,282.8,0,867.1,47.8,4.1,4.1,406.1,0,1
date_1986-10-27_loc_Thora,1,-9,1986-10-26T10:00:00Z,-30.924,151.237,940.9,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,863.6,295,282.9,0,979.1,47.3,4.1,4.1,415.2,0,1
date_1986-10-27_loc_Thora,1,-10,1986-10-26T09:00:00Z,-30.935,150.989,922.6,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,864.2,295.1,283,0,1139.6,46.4,4,4.1,425,0,1
date_1986-10-27_loc_Thora,1,-11,1986-10-26T08:00:00Z,-30.93,150.74,902.7,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,864.6,295.2,283.2,0,1350.6,45,4,4,435.2,43.1,1
date_1986-10-27_loc_Thora,1,-12,1986-10-26T07:00:00Z,-30.91,150.49,880.4,1986-10-26T19:00:00Z,-30.4202778,152.806111111111,1000,865.2,295.4,283.4,0,1614.3,43.2,3.9,3.9,445.5,288.2,1
