run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1986-11-06_loc_Mt. Dowe,1,0,1986-11-05T19:00:00Z,-30.285,150.167,50,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961,293.4,290.1,0,358,83.6,10.4,10.5,439.4,0
date_1986-11-06_loc_Mt. Dowe,1,-1,1986-11-05T18:00:00Z,-30.146,150.215,54,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,960.8,292.5,289.2,0,261.1,89,10.4,10.6,437.7,0
date_1986-11-06_loc_Mt. Dowe,1,-2,1986-11-05T17:00:00Z,-30.011,150.278,58.7,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,960.7,293,289.7,0,264.3,85.5,10.3,10.5,451.7,0
date_1986-11-06_loc_Mt. Dowe,1,-3,1986-11-05T16:00:00Z,-29.883,150.364,63.8,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,960.8,293.5,290.2,0,268.7,82.3,10.3,10.5,447.8,0
date_1986-11-06_loc_Mt. Dowe,1,-4,1986-11-05T15:00:00Z,-29.764,150.473,69.3,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961,293.9,290.6,0,274.3,79.7,10.2,10.4,443.1,0
date_1986-11-06_loc_Mt. Dowe,1,-5,1986-11-05T14:00:00Z,-29.653,150.606,75.2,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961.1,294.3,291,0,281.2,77.5,10.2,10.4,437.8,0
date_1986-11-06_loc_Mt. Dowe,1,-6,1986-11-05T13:00:00Z,-29.548,150.766,81.6,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961.1,294.6,291.3,0,289.5,75.9,10.2,10.4,431.7,0
date_1986-11-06_loc_Mt. Dowe,1,-7,1986-11-05T12:00:00Z,-29.449,150.956,88.5,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961.1,294.9,291.6,0,299.3,75,10.2,10.4,424.7,0
date_1986-11-06_loc_Mt. Dowe,1,-8,1986-11-05T11:00:00Z,-29.352,151.162,95.2,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,960.8,295.6,292.2,0,443.5,72.2,10.3,10.4,415,0
date_1986-11-06_loc_Mt. Dowe,1,-9,1986-11-05T10:00:00Z,-29.255,151.37,100.6,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,960.8,296.2,292.8,0,574.5,69.6,10.3,10.4,405.9,0
date_1986-11-06_loc_Mt. Dowe,1,-10,1986-11-05T09:00:00Z,-29.158,151.578,104.6,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961.1,296.7,293.3,0,692,67.1,10.2,10.4,396.1,0
date_1986-11-06_loc_Mt. Dowe,1,-11,1986-11-05T08:00:00Z,-29.062,151.787,106.9,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,961.7,297.1,293.8,0,796,64.7,10.1,10.3,385.8,48.6
date_1986-11-06_loc_Mt. Dowe,1,-12,1986-11-05T07:00:00Z,-28.966,151.996,107.5,1986-11-05T19:00:00Z,-30.285,150.167222222222,50,962.7,297.4,294.2,0,886.7,62.4,10,10.2,374.9,287.5
