run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1986-12-02_loc_Mt. Dowe,1,0,1986-12-01T19:00:00Z,-30.285,150.167,50,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,965.4,289.7,286.8,0,360.9,90.9,9.1,9.2,445.5,14.2,1
date_1986-12-02_loc_Mt. Dowe,1,-1,1986-12-01T18:00:00Z,-30.273,150.336,48.7,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,965.4,289.1,286.2,0,251.9,94,9.1,9.2,441.8,0,1
date_1986-12-02_loc_Mt. Dowe,1,-2,1986-12-01T17:00:00Z,-30.274,150.499,47.4,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,966.2,289.5,286.6,0,263.8,92.6,9.1,9.3,436.6,0,1
date_1986-12-02_loc_Mt. Dowe,1,-3,1986-12-01T16:00:00Z,-30.289,150.658,46.3,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,966.9,289.8,287,0,282.6,91.1,9.2,9.4,434,0,1
date_1986-12-02_loc_Mt. Dowe,1,-4,1986-12-01T15:00:00Z,-30.319,150.814,45.4,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,967.7,290.1,287.4,0,307.9,89.8,9.3,9.4,431.1,0,1
date_1986-12-02_loc_Mt. Dowe,1,-5,1986-12-01T14:00:00Z,-30.359,150.97,44.6,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,968.4,290.3,287.7,0,339.1,88.4,9.3,9.5,427.7,0,1
date_1986-12-02_loc_Mt. Dowe,1,-6,1986-12-01T13:00:00Z,-30.408,151.125,44,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,969.1,290.6,288,0,375.6,87.1,9.4,9.5,423.7,0,1
date_1986-12-02_loc_Mt. Dowe,1,-7,1986-12-01T12:00:00Z,-30.463,151.282,43.5,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,969.9,290.8,288.3,0.1,416.7,85.9,9.4,9.6,418.9,0,1
date_1986-12-02_loc_Mt. Dowe,1,-8,1986-12-01T11:00:00Z,-30.52,151.441,43,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,970.3,291.3,288.8,0,522.4,82.3,9.3,9.4,412.5,0,1
date_1986-12-02_loc_Mt. Dowe,1,-9,1986-12-01T10:00:00Z,-30.578,151.603,42.3,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,970.8,291.7,289.2,0,625.5,78.6,9.1,9.3,405.6,0,1
date_1986-12-02_loc_Mt. Dowe,1,-10,1986-12-01T09:00:00Z,-30.637,151.77,41.6,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,971.4,292.1,289.7,0,726.9,74.8,8.9,9.1,397.8,0,1
date_1986-12-02_loc_Mt. Dowe,1,-11,1986-12-01T08:00:00Z,-30.698,151.942,40.7,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,972.2,292.4,290.1,0,827.6,71,8.7,8.8,389.1,139.1,1
date_1986-12-02_loc_Mt. Dowe,1,-12,1986-12-01T07:00:00Z,-30.761,152.12,39.8,1986-12-01T19:00:00Z,-30.285,150.167222222222,50,973.2,292.7,290.5,0,928.7,67.1,8.4,8.5,379.3,366.5,1
