run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1986-12-16_loc_ARARAT,1,0,1986-12-15T19:00:00Z,-37.397,143.084,50,1986-12-15T19:00:00Z,-37.397341,143.083979,50,987.9,290.1,289.1,0,326.8,51.3,5.8,5.9,128.2,0
date_1986-12-16_loc_ARARAT,1,-1,1986-12-15T18:00:00Z,-37.375,143.076,49,1986-12-15T19:00:00Z,-37.397341,143.083979,50,988.6,289.6,288.6,0,250,53.2,5.8,5.9,127.2,0
date_1986-12-16_loc_ARARAT,1,-2,1986-12-15T17:00:00Z,-37.368,143.058,48.1,1986-12-15T19:00:00Z,-37.397341,143.083979,50,989,290.1,289.1,0,271.2,49.6,5.6,5.7,130.6,0
date_1986-12-16_loc_ARARAT,1,-3,1986-12-15T16:00:00Z,-37.391,143.065,47.2,1986-12-15T19:00:00Z,-37.397341,143.083979,50,989.1,290.5,289.6,0,292.8,46.4,5.4,5.5,131.6,0
date_1986-12-16_loc_ARARAT,1,-4,1986-12-15T15:00:00Z,-37.445,143.095,46.4,1986-12-15T19:00:00Z,-37.397341,143.083979,50,989,290.9,290,0,315.3,43.4,5.2,5.2,135.1,0
date_1986-12-16_loc_ARARAT,1,-5,1986-12-15T14:00:00Z,-37.531,143.151,45.7,1986-12-15T19:00:00Z,-37.397341,143.083979,50,988.9,291.2,290.3,0,339.1,40.6,5,5,138.7,0
date_1986-12-16_loc_ARARAT,1,-6,1986-12-15T13:00:00Z,-37.642,143.235,45.2,1986-12-15T19:00:00Z,-37.397341,143.083979,50,989.1,291.6,290.7,0,362,38.3,4.8,4.8,138.8,0
date_1986-12-16_loc_ARARAT,1,-7,1986-12-15T12:00:00Z,-37.775,143.348,44.6,1986-12-15T19:00:00Z,-37.397341,143.083979,50,989.4,291.8,291,0,382.9,36.4,4.6,4.7,139.4,0
date_1986-12-16_loc_ARARAT,1,-8,1986-12-15T11:00:00Z,-37.898,143.474,43.9,1986-12-15T19:00:00Z,-37.397341,143.083979,50,989.8,292,291.2,0,506.7,37.1,4.8,4.8,132.8,0
date_1986-12-16_loc_ARARAT,1,-9,1986-12-15T10:00:00Z,-37.985,143.591,43.3,1986-12-15T19:00:00Z,-37.397341,143.083979,50,990.2,292.2,291.4,0,618.4,37.4,4.9,4.9,135.5,0
date_1986-12-16_loc_ARARAT,1,-10,1986-12-15T09:00:00Z,-38.041,143.7,42.8,1986-12-15T19:00:00Z,-37.397341,143.083979,50,990.3,292.4,291.6,0,724.3,37.4,5,5,139.1,66.3
date_1986-12-16_loc_ARARAT,1,-11,1986-12-15T08:00:00Z,-38.07,143.799,42.5,1986-12-15T19:00:00Z,-37.397341,143.083979,50,990.4,292.7,291.9,0,830,37,5,5,143.4,169.8
date_1986-12-16_loc_ARARAT,1,-12,1986-12-15T07:00:00Z,-38.073,143.888,42.4,1986-12-15T19:00:00Z,-37.397341,143.083979,50,990.3,293,292.2,0,940.5,36.2,5,5,148.4,270.9
