run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
"date_1987-10-11_loc_Laureldale, Armidale",1,0,1987-10-10T19:00:00Z,-30.482,152.395,50,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,965.1,293.1,290.1,0.5,274.9,89.4,11,11.2,391.2,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-1,1987-10-10T18:00:00Z,-30.343,152.351,48.1,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,963.9,293,289.9,0.5,250,89.7,11,11.2,400.6,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-2,1987-10-10T17:00:00Z,-30.18,152.319,46.3,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,963.2,293.3,290.2,0.1,250,88.1,11,11.2,413.5,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-3,1987-10-10T16:00:00Z,-30.001,152.308,44.6,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,962.3,293.7,290.4,0.1,250,86.7,11,11.2,425.4,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-4,1987-10-10T15:00:00Z,-29.818,152.322,43,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,964,293.8,290.7,0.1,250,85.9,11.1,11.3,414.4,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-5,1987-10-10T14:00:00Z,-29.637,152.364,41.6,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,965.6,293.9,291,0.1,250,85.4,11.1,11.4,402.7,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-6,1987-10-10T13:00:00Z,-29.455,152.431,40.3,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,967.4,293.9,291.2,0.1,250,85.2,11.2,11.5,390.1,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-7,1987-10-10T12:00:00Z,-29.268,152.524,39.1,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,969.6,293.9,291.3,0.1,252,85.1,11.3,11.5,373.8,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-8,1987-10-10T11:00:00Z,-29.078,152.639,38,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,972.5,294.2,291.9,0,336.5,81.5,11.2,11.4,350.7,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-9,1987-10-10T10:00:00Z,-28.89,152.773,36.8,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,975.7,294.5,292.4,0,404.2,78.3,11.1,11.3,321.8,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-10,1987-10-10T09:00:00Z,-28.707,152.925,35.6,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,979,294.6,292.8,0.2,456.5,75.6,11,11.2,291.6,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-11,1987-10-10T08:00:00Z,-28.532,153.095,34.2,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,982.6,294.7,293.2,0.2,495.6,73.5,10.9,11.1,260.3,0
"date_1987-10-11_loc_Laureldale, Armidale",1,-12,1987-10-10T07:00:00Z,-28.37,153.282,32.7,1987-10-10T19:00:00Z,-30.4816667,152.394999999999,50,986.3,294.7,293.5,0.2,524.3,71.9,10.8,11,228.4,99.3
