run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1988-07-06_loc_FOWLERS GAP,1,0,1988-07-05T19:00:00Z,-31.295,141.71,50,1988-07-05T19:00:00Z,-31.2953,141.7099,50,989.3,284.9,284,0.1,250,97.6,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-1,1988-07-05T18:00:00Z,-31.376,141.558,50.1,1988-07-05T19:00:00Z,-31.2953,141.7099,50,989,284.7,283.8,0.1,250,97.8,7.8,7.9,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-2,1988-07-05T17:00:00Z,-31.468,141.415,50.1,1988-07-05T19:00:00Z,-31.2953,141.7099,50,989,284.8,283.9,0,255.2,97.3,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-3,1988-07-05T16:00:00Z,-31.578,141.281,50.1,1988-07-05T19:00:00Z,-31.2953,141.7099,50,989,284.9,284,0,258.3,96.7,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-4,1988-07-05T15:00:00Z,-31.706,141.158,50.1,1988-07-05T19:00:00Z,-31.2953,141.7099,50,989,285.1,284.2,0,259.7,96,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-5,1988-07-05T14:00:00Z,-31.853,141.047,49.9,1988-07-05T19:00:00Z,-31.2953,141.7099,50,988.9,285.2,284.3,0,259.6,95.1,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-6,1988-07-05T13:00:00Z,-32.02,140.947,49.6,1988-07-05T19:00:00Z,-31.2953,141.7099,50,988.7,285.4,284.4,0,258,94.1,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-7,1988-07-05T12:00:00Z,-32.208,140.86,49.2,1988-07-05T19:00:00Z,-31.2953,141.7099,50,988.4,285.5,284.5,0,255.3,93,7.8,7.9,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-8,1988-07-05T11:00:00Z,-32.407,140.79,48.7,1988-07-05T19:00:00Z,-31.2953,141.7099,50,987.8,285.8,284.8,0,274.9,91.7,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-9,1988-07-05T10:00:00Z,-32.604,140.742,48.1,1988-07-05T19:00:00Z,-31.2953,141.7099,50,988.1,286.1,285.1,0,297.5,90,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-10,1988-07-05T09:00:00Z,-32.793,140.716,47.7,1988-07-05T19:00:00Z,-31.2953,141.7099,50,989.2,286.5,285.6,0,330.5,87.5,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-11,1988-07-05T08:00:00Z,-32.973,140.711,47.7,1988-07-05T19:00:00Z,-31.2953,141.7099,50,990.2,286.9,286.1,0,369.2,84.8,7.9,8,NA,NA
date_1988-07-06_loc_FOWLERS GAP,1,-12,1988-07-05T07:00:00Z,-33.145,140.726,48.1,1988-07-05T19:00:00Z,-31.2953,141.7099,50,991.2,287.3,286.6,0,413,82,7.9,8,NA,NA
