run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1988-10-10_loc_Point Lookout,1,0,1988-10-09T19:00:00Z,-30.482,152.395,50,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,958.6,289.5,286,0,351.4,57.6,5.5,5.6,386.2,0
date_1988-10-10_loc_Point Lookout,1,-1,1988-10-09T18:00:00Z,-30.471,152.248,51.7,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,958,288.7,285.2,0,272.3,59.7,5.4,5.5,390.8,0
date_1988-10-10_loc_Point Lookout,1,-2,1988-10-09T17:00:00Z,-30.457,152.107,53.3,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,957.5,289.1,285.5,0,270.3,57,5.3,5.3,407.9,0
date_1988-10-10_loc_Point Lookout,1,-3,1988-10-09T16:00:00Z,-30.443,151.96,54.9,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,957,289.4,285.8,0,268.2,54.6,5.2,5.2,411.7,0
date_1988-10-10_loc_Point Lookout,1,-4,1988-10-09T15:00:00Z,-30.427,151.807,56.5,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,956.5,289.8,286.1,0,266.2,52.6,5.1,5.1,415.5,0
date_1988-10-10_loc_Point Lookout,1,-5,1988-10-09T14:00:00Z,-30.409,151.647,58.2,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,956,290.2,286.5,0,264.1,50.9,5,5.1,419.4,0
date_1988-10-10_loc_Point Lookout,1,-6,1988-10-09T13:00:00Z,-30.388,151.482,60,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,955.6,290.5,286.8,0,262.1,49.5,5,5,423.3,0
date_1988-10-10_loc_Point Lookout,1,-7,1988-10-09T12:00:00Z,-30.363,151.31,61.8,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,955.2,290.9,287.1,0,260,48.6,5,5,427.1,0
date_1988-10-10_loc_Point Lookout,1,-8,1988-10-09T11:00:00Z,-30.343,151.123,64,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,954.5,291.8,287.9,0,306.1,44.4,4.8,4.9,417.2,0
date_1988-10-10_loc_Point Lookout,1,-9,1988-10-09T10:00:00Z,-30.333,150.913,66.7,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,953.8,292.7,288.8,0,346.5,40.3,4.6,4.7,420.7,0
date_1988-10-10_loc_Point Lookout,1,-10,1988-10-09T09:00:00Z,-30.334,150.68,69.9,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,953.1,293.6,289.6,0,381.1,36.4,4.4,4.5,424.4,0
date_1988-10-10_loc_Point Lookout,1,-11,1988-10-09T08:00:00Z,-30.346,150.423,73.9,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,952.2,294.6,290.5,0,409.9,32.6,4.2,4.2,428.5,0
date_1988-10-10_loc_Point Lookout,1,-12,1988-10-09T07:00:00Z,-30.369,150.144,78.6,1988-10-09T19:00:00Z,-30.4816667,152.394999999999,50,950.9,295.6,291.4,0,433.5,29.1,4,4,433.4,124.4
