run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
"date_1988-10-19_loc_Laureldale, Armidale",1,0,1988-10-18T19:00:00Z,-30.482,152.395,1000,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,861.3,298.6,286.1,0,390.7,32,3.4,3.5,395,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-1,1988-10-18T18:00:00Z,-30.598,152.229,1011.3,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,860,298.6,286,0,250,32.4,3.5,3.5,390.7,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-2,1988-10-18T17:00:00Z,-30.712,152.054,1018.7,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,859.9,298.8,286.1,0,250,31.7,3.4,3.4,388.5,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-3,1988-10-18T16:00:00Z,-30.821,151.864,1023.8,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,859.6,299,286.3,0,250,31.2,3.4,3.4,388.6,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-4,1988-10-18T15:00:00Z,-30.925,151.661,1027.5,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,859.2,299.2,286.4,0,250,30.9,3.4,3.4,391,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-5,1988-10-18T14:00:00Z,-31.024,151.445,1030.8,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,858.6,299.4,286.6,0,250,30.7,3.4,3.4,395.8,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-6,1988-10-18T13:00:00Z,-31.121,151.22,1034.9,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,857.7,299.6,286.7,0,250,30.7,3.4,3.5,402.8,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-7,1988-10-18T12:00:00Z,-31.217,150.985,1040.9,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,856.4,299.9,286.8,0,250,30.8,3.5,3.5,412,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-8,1988-10-18T11:00:00Z,-31.304,150.743,1051.2,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,853.7,299.9,286.7,0,421.3,30,3.4,3.4,426.3,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-9,1988-10-18T10:00:00Z,-31.378,150.496,1067.3,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,850.1,300.1,286.4,0,592.4,29.3,3.3,3.3,438.5,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-10,1988-10-18T09:00:00Z,-31.438,150.245,1088.4,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,845.8,300.2,286.2,0,763.2,28.9,3.2,3.2,452.1,0,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-11,1988-10-18T08:00:00Z,-31.484,149.992,1113.5,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,841.3,300.5,286,0,934.2,28.6,3.1,3.1,465.5,33.3,1
"date_1988-10-19_loc_Laureldale, Armidale",1,-12,1988-10-18T07:00:00Z,-31.515,149.739,1143.4,1988-10-18T19:00:00Z,-30.4816667,152.394999999999,1000,840,300.5,285.9,0,1120.3,28.7,3.1,3.1,442.9,279.1,1
