run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1989-05-17_loc_FOWLERS GAP,1,0,1989-05-16T19:00:00Z,-31.295,141.71,50,1989-05-16T19:00:00Z,-31.2953,141.7099,50,992.6,285.1,284.5,0,250,78.6,6.6,6.6,149.1,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-1,1989-05-16T18:00:00Z,-31.361,141.744,50.3,1989-05-16T19:00:00Z,-31.2953,141.7099,50,992.6,284.8,284.2,0,250,79.7,6.5,6.6,148.2,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-2,1989-05-16T17:00:00Z,-31.438,141.774,51.1,1989-05-16T19:00:00Z,-31.2953,141.7099,50,993.1,285.3,284.7,0,250,77.5,6.6,6.6,141,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-3,1989-05-16T16:00:00Z,-31.534,141.801,52.5,1989-05-16T19:00:00Z,-31.2953,141.7099,50,993.5,285.7,285.2,0,250,75.2,6.6,6.6,139.3,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-4,1989-05-16T15:00:00Z,-31.647,141.824,54.5,1989-05-16T19:00:00Z,-31.2953,141.7099,50,994,286.2,285.7,0,250,72.7,6.6,6.6,137.3,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-5,1989-05-16T14:00:00Z,-31.778,141.846,57.3,1989-05-16T19:00:00Z,-31.2953,141.7099,50,994.4,286.6,286.1,0,250,70.1,6.5,6.6,135,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-6,1989-05-16T13:00:00Z,-31.928,141.868,61.1,1989-05-16T19:00:00Z,-31.2953,141.7099,50,994.8,287,286.6,0,250,67.3,6.5,6.5,132.3,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-7,1989-05-16T12:00:00Z,-32.097,141.891,66,1989-05-16T19:00:00Z,-31.2953,141.7099,50,995.3,287.5,287.1,0,250,64.4,6.4,6.4,129.1,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-8,1989-05-16T11:00:00Z,-32.277,141.917,71.8,1989-05-16T19:00:00Z,-31.2953,141.7099,50,994.7,288.4,287.9,0,419.7,61.5,6.4,6.5,135.8,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-9,1989-05-16T10:00:00Z,-32.459,141.945,78.2,1989-05-16T19:00:00Z,-31.2953,141.7099,50,994,289.3,288.8,0,596.2,58.7,6.5,6.5,132.5,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-10,1989-05-16T09:00:00Z,-32.643,141.976,84.8,1989-05-16T19:00:00Z,-31.2953,141.7099,50,993.3,290.2,289.6,0,771.7,56.3,6.6,6.6,125.7,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-11,1989-05-16T08:00:00Z,-32.83,142.01,91.3,1989-05-16T19:00:00Z,-31.2953,141.7099,50,992.8,291.1,290.5,0,945.9,54,6.6,6.7,118,0,2
date_1989-05-17_loc_FOWLERS GAP,1,-12,1989-05-16T07:00:00Z,-33.019,142.046,97.5,1989-05-16T19:00:00Z,-31.2953,141.7099,50,992.5,291.9,291.3,0,1120.2,51.7,6.7,6.8,110.1,66.2,2
