run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1990-01-23_loc_Point Lookout,1,0,1990-01-22T19:00:00Z,-30.482,152.395,50,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,965.7,293.1,290.2,0,451.8,91.8,11.4,11.7,392.9,0,1
date_1990-01-23_loc_Point Lookout,1,-1,1990-01-22T18:00:00Z,-30.673,152.515,52.5,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,967.4,292.9,290.1,0,447.4,92.2,11.4,11.6,374.8,0,1
date_1990-01-23_loc_Point Lookout,1,-2,1990-01-22T17:00:00Z,-30.87,152.641,54.5,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,971,292.8,290.3,0,488.6,91.7,11.4,11.7,341.6,0,1
date_1990-01-23_loc_Point Lookout,1,-3,1990-01-22T16:00:00Z,-31.072,152.774,55.5,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,975,292.7,290.6,0,526.7,91.1,11.5,11.7,308.9,0,1
date_1990-01-23_loc_Point Lookout,1,-4,1990-01-22T15:00:00Z,-31.279,152.909,55.3,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,979.1,292.6,290.9,0,562.4,90.7,11.6,11.8,275.9,0,1
date_1990-01-23_loc_Point Lookout,1,-5,1990-01-22T14:00:00Z,-31.491,153.045,54,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,983.4,292.5,291.1,0,596.5,90.3,11.7,11.9,243.1,0,1
date_1990-01-23_loc_Point Lookout,1,-6,1990-01-22T13:00:00Z,-31.708,153.18,51.7,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,987.8,292.4,291.3,0,630.3,89.9,11.8,12,210.7,0,1
date_1990-01-23_loc_Point Lookout,1,-7,1990-01-22T12:00:00Z,-31.931,153.311,48.6,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,992.3,292.2,291.6,0,665,89.6,11.8,12.1,178.9,0,1
date_1990-01-23_loc_Point Lookout,1,-8,1990-01-22T11:00:00Z,-32.163,153.435,45.5,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,996,292.2,291.9,0.1,708.2,89.2,12,12.2,149.5,0,1
date_1990-01-23_loc_Point Lookout,1,-9,1990-01-22T10:00:00Z,-32.408,153.552,42.7,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,999.5,292.1,292.1,0.1,747.5,89.1,12.1,12.3,119.8,0,1
date_1990-01-23_loc_Point Lookout,1,-10,1990-01-22T09:00:00Z,-32.668,153.666,40.3,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,1002.5,292.1,292.3,0.1,770.2,88.8,12.1,12.4,93.4,0,1
date_1990-01-23_loc_Point Lookout,1,-11,1990-01-22T08:00:00Z,-32.943,153.781,38,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,1005.2,292,292.4,0.1,784.9,88.3,12.1,12.4,69.4,94.5,1
date_1990-01-23_loc_Point Lookout,1,-12,1990-01-22T07:00:00Z,-33.233,153.899,35.7,1990-01-22T19:00:00Z,-30.4816667,152.394999999999,50,1007.8,291.9,292.5,0.1,799.9,87.8,12.1,12.3,46.3,207.1,1
