run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,timespan
date_1990-10-24_loc_SWANHILL,1,0,1990-10-23T19:00:00Z,-35.496,143.563,1000,1990-10-23T19:00:00Z,-35.496,143.5631,1000,896.7,290.7,281.8,0,373.7,61.3,4.7,4.8,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-1,1990-10-23T18:00:00Z,-35.529,143.717,1021.9,1990-10-23T19:00:00Z,-35.496,143.5631,1000,892.7,290.6,281.3,0,278,61.6,4.6,4.7,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-2,1990-10-23T17:00:00Z,-35.57,143.876,1044.2,1990-10-23T19:00:00Z,-35.496,143.5631,1000,889.4,290.9,281.3,0,297.2,60.5,4.6,4.6,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-3,1990-10-23T16:00:00Z,-35.622,144.041,1067.7,1990-10-23T19:00:00Z,-35.496,143.5631,1000,885.9,291.2,281.3,0,316.1,59.6,4.5,4.5,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-4,1990-10-23T15:00:00Z,-35.681,144.213,1093.3,1990-10-23T19:00:00Z,-35.496,143.5631,1000,882,291.5,281.2,0,334.2,59.1,4.5,4.5,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-5,1990-10-23T14:00:00Z,-35.747,144.391,1121.7,1990-10-23T19:00:00Z,-35.496,143.5631,1000,877.9,291.8,281.1,0,351.3,58.7,4.4,4.5,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-6,1990-10-23T13:00:00Z,-35.817,144.575,1153.6,1990-10-23T19:00:00Z,-35.496,143.5631,1000,873.4,292.1,281,0,367.2,58.6,4.4,4.4,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-7,1990-10-23T12:00:00Z,-35.89,144.762,1190.1,1990-10-23T19:00:00Z,-35.496,143.5631,1000,868.4,292.4,280.8,0,381.8,58.5,4.4,4.4,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-8,1990-10-23T11:00:00Z,-35.96,144.946,1227,1990-10-23T19:00:00Z,-35.496,143.5631,1000,862.5,292.7,280.6,0,510.5,56.3,4.2,4.2,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-9,1990-10-23T10:00:00Z,-36.03,145.119,1259.5,1990-10-23T19:00:00Z,-35.496,143.5631,1000,857.4,292.9,280.3,0,628.1,54.8,4,4,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-10,1990-10-23T09:00:00Z,-36.102,145.285,1286.8,1990-10-23T19:00:00Z,-35.496,143.5631,1000,852.7,293.1,280.1,0,738.9,54,3.9,3.9,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-11,1990-10-23T08:00:00Z,-36.176,145.443,1308.5,1990-10-23T19:00:00Z,-35.496,143.5631,1000,848.6,293.3,279.9,0,844.7,53.5,3.8,3.9,NA,NA,1
date_1990-10-24_loc_SWANHILL,1,-12,1990-10-23T07:00:00Z,-36.253,145.592,1324.1,1990-10-23T19:00:00Z,-35.496,143.5631,1000,845.3,293.5,279.7,0,946.1,53.4,3.8,3.8,NA,NA,1
