run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux
date_1991-09-07_loc_SWANHILL,1,0,1991-09-06T19:00:00Z,-35.496,143.563,50,1991-09-06T19:00:00Z,-35.496,143.5631,50,996.2,286.6,286.3,0,250,41.8,3.9,3.9,124.2,0
date_1991-09-07_loc_SWANHILL,1,-1,1991-09-06T18:00:00Z,-35.408,143.683,54.3,1991-09-06T19:00:00Z,-35.496,143.5631,50,995.6,285.9,285.6,0,250,43.7,3.9,3.9,129.7,0
date_1991-09-07_loc_SWANHILL,1,-2,1991-09-06T17:00:00Z,-35.347,143.8,58.7,1991-09-06T19:00:00Z,-35.496,143.5631,50,995.3,286.9,286.5,0,250,41.5,3.9,4,128.5,0
date_1991-09-07_loc_SWANHILL,1,-3,1991-09-06T16:00:00Z,-35.299,143.91,61.9,1991-09-06T19:00:00Z,-35.496,143.5631,50,995.1,287.9,287.5,0,250,39.1,4,4,134.7,0
date_1991-09-07_loc_SWANHILL,1,-4,1991-09-06T15:00:00Z,-35.263,144.014,64,1991-09-06T19:00:00Z,-35.496,143.5631,50,995,288.9,288.5,0,250,36.6,4,4,140.8,0
date_1991-09-07_loc_SWANHILL,1,-5,1991-09-06T14:00:00Z,-35.241,144.112,65,1991-09-06T19:00:00Z,-35.496,143.5631,50,995,289.9,289.5,0,250,34,3.9,4,146.7,0
date_1991-09-07_loc_SWANHILL,1,-6,1991-09-06T13:00:00Z,-35.23,144.202,65,1991-09-06T19:00:00Z,-35.496,143.5631,50,995.1,291,290.6,0,250,31.4,3.9,3.9,152.4,0
date_1991-09-07_loc_SWANHILL,1,-7,1991-09-06T12:00:00Z,-35.231,144.286,64.2,1991-09-06T19:00:00Z,-35.496,143.5631,50,995.2,292.1,291.7,0,250,28.8,3.8,3.8,158,0
date_1991-09-07_loc_SWANHILL,1,-8,1991-09-06T11:00:00Z,-35.24,144.355,63.2,1991-09-06T19:00:00Z,-35.496,143.5631,50,994.6,293,292.5,0,476.6,27.9,3.9,3.9,161.8,0
date_1991-09-07_loc_SWANHILL,1,-9,1991-09-06T10:00:00Z,-35.255,144.401,62.8,1991-09-06T19:00:00Z,-35.496,143.5631,50,994,293.8,293.3,0,701,27.1,4,4,165.2,0
date_1991-09-07_loc_SWANHILL,1,-10,1991-09-06T09:00:00Z,-35.273,144.424,62.7,1991-09-06T19:00:00Z,-35.496,143.5631,50,993.5,294.6,294.1,0,922.4,26.2,4,4.1,167.2,0
date_1991-09-07_loc_SWANHILL,1,-11,1991-09-06T08:00:00Z,-35.296,144.423,63,1991-09-06T19:00:00Z,-35.496,143.5631,50,993.1,295.4,294.8,0,1140.1,25.3,4.1,4.1,167.7,5.9
date_1991-09-07_loc_SWANHILL,1,-12,1991-09-06T07:00:00Z,-35.321,144.4,63.6,1991-09-06T19:00:00Z,-35.496,143.5631,50,992.9,296.2,295.6,0,1353.3,24.3,4.1,4.2,166.7,233.9
